Location,Obesity Percentage,Lower Limit,Upper Limit
"LakeCounty,Montana",29.6,26.5,33
"LewisAndClarkCounty,Montana",26.2,22.6,30.1
"LibertyCounty,Montana",35.1,25.1,47.2
"LincolnCounty,Montana",25.2,20.9,29.6
"MadisonCounty,Montana",23.6,17.9,29.8
"McconeCounty,Montana",23.7,16.7,32.7
"MeagherCounty,Montana",24.9,17.1,34.5
"MineralCounty,Montana",27.3,18.8,38
"MissoulaCounty,Montana",22.2,19.4,24.8
"MusselshellCounty,Montana",27.1,19.9,35.7
"ParkCounty,Montana",23.8,18.3,30.3
"PetroleumCounty,Montana",25.2,15.8,38
"PhillipsCounty,Montana",34.9,27.5,42.7
"PonderaCounty,Montana",35.2,27.9,42.6
"PowderRiverCounty,Montana",26.3,17.6,36
"PowellCounty,Montana",31.8,23.3,41.5
"PrairieCounty,Montana",35.3,23.8,48.9
"RavalliCounty,Montana",26.2,21.3,31.8
"RichlandCounty,Montana",30.5,25.2,35.8
"RooseveltCounty,Montana",35,30.3,39.7
"RosebudCounty,Montana",31.8,27.1,36.6
"SandersCounty,Montana",24,18.7,30.1
"SheridanCounty,Montana",38.4,30.8,47.1
"SilverBowCounty,Montana",24.9,20.9,29
"StillwaterCounty,Montana",23.4,17.6,30.4
"SweetGrassCounty,Montana",27.8,20.6,36
"TetonCounty,Montana",23.8,17.7,30.7
"TooleCounty,Montana",25.4,18.8,33.4
"TreasureCounty,Montana",32.5,20.4,46.9
"ValleyCounty,Montana",30.4,24.7,36.5
"WheatlandCounty,Montana",31.9,21.9,44.1
"WibauxCounty,Montana",29.5,19.3,42
"YellowstoneCounty,Montana",26.5,24.3,28.9
"AdamsCounty,Nebraska",36.8,33.6,40
"AntelopeCounty,Nebraska",33.1,27.8,39.2
"ArthurCounty,Nebraska",34.8,23.5,48.3
"BannerCounty,Nebraska",28,18.2,39.9
"BlaineCounty,Nebraska",34.8,23.7,47.4
"BooneCounty,Nebraska",33,27.2,39.2
"BoxButteCounty,Nebraska",36.1,31.6,41
"BoydCounty,Nebraska",36.6,28.4,44.6
"BrownCounty,Nebraska",38.9,31.5,46.7
"BuffaloCounty,Nebraska",29.6,26.5,32.9
"BurtCounty,Nebraska",36.1,31,41.7
"ButlerCounty,Nebraska",34,28.8,39.8
"CassCounty,Nebraska",39.9,36.7,43.3
"CedarCounty,Nebraska",36.6,32.6,41.1
"ChaseCounty,Nebraska",31.9,25.3,38.9
"CherryCounty,Nebraska",27.4,23.1,31.8
"CheyenneCounty,Nebraska",29,24.1,34.3
"ClayCounty,Nebraska",35.1,29.6,41.3
"ColfaxCounty,Nebraska",31.2,26.1,36.3
"CumingCounty,Nebraska",35.5,30.9,40.5
"CusterCounty,Nebraska",35.7,31.6,39.8
"DakotaCounty,Nebraska",38.5,35.3,42
"DawesCounty,Nebraska",28.2,23.6,33
"DawsonCounty,Nebraska",35.6,31.2,40.6
"DeuelCounty,Nebraska",36,26.6,46.3
"DixonCounty,Nebraska",35.9,30.8,41.3
"DodgeCounty,Nebraska",35.3,32.2,38.5
"DouglasCounty,Nebraska",29.9,28.5,31.3
"DundyCounty,Nebraska",34.6,27.1,42.9
"FillmoreCounty,Nebraska",32.1,26.3,38.7
"FranklinCounty,Nebraska",30.3,22.8,38.5
"FrontierCounty,Nebraska",44.9,36,53.5
"FurnasCounty,Nebraska",34.6,28,41.4
"GageCounty,Nebraska",38.6,34.7,42.3
"GardenCounty,Nebraska",28.1,21.1,36.2
"GarfieldCounty,Nebraska",27.1,20.6,34.6
"GosperCounty,Nebraska",23.7,15.2,35.1
"GrantCounty,Nebraska",33.5,22.9,45.4
"GreeleyCounty,Nebraska",38.8,31.6,46.8
"HallCounty,Nebraska",34.6,31.8,37.4
"HamiltonCounty,Nebraska",29.9,25,34.9
"HarlanCounty,Nebraska",35.1,27.2,43.6
"HayesCounty,Nebraska",24,16.3,33.4
"HitchcockCounty,Nebraska",38.5,30.4,47.4
"HoltCounty,Nebraska",31.7,27.5,36.1
"HookerCounty,Nebraska",26.5,18.3,36
"HowardCounty,Nebraska",37.6,31.8,43.5
"JeffersonCounty,Nebraska",37.8,31.8,43.7
"JohnsonCounty,Nebraska",36.6,30.2,43.1
"KearneyCounty,Nebraska",37.5,30.9,44.6
"KeithCounty,Nebraska",30,24.6,35.1
"KeyaPahaCounty,Nebraska",29,21,39.1
"KimballCounty,Nebraska",39.5,32.1,46.7
"KnoxCounty,Nebraska",32.5,28.6,36.5
"LancasterCounty,Nebraska",28.7,27.3,30.2
"LincolnCounty,Nebraska",37.2,34.6,39.9
"LoganCounty,Nebraska",35.1,25.5,46.3
"LoupCounty,Nebraska",30.6,20.6,41.8
"MadisonCounty,Nebraska",34,31.1,36.8
"McphersonCounty,Nebraska",25.4,16.2,37.1
"MerrickCounty,Nebraska",39.1,32.5,46.4
"MorrillCounty,Nebraska",38.3,31.7,44.8
"NanceCounty,Nebraska",30.4,23.9,37.7
"NemahaCounty,Nebraska",38.8,33.4,44.1
"NuckollsCounty,Nebraska",34.9,28.8,41.7
"OtoeCounty,Nebraska",39.8,35.7,43.9
"PawneeCounty,Nebraska",33.7,26,42.1
"PerkinsCounty,Nebraska",25,18.8,31.7
"PhelpsCounty,Nebraska",36.6,30.1,43.6
"PierceCounty,Nebraska",32,27.2,37.1
"PlatteCounty,Nebraska",35.7,32.5,38.8
"PolkCounty,Nebraska",35.2,29.1,41.2
"RedWillowCounty,Nebraska",35.6,30.8,40.7
"RichardsonCounty,Nebraska",36.8,31.6,42.3
"RockCounty,Nebraska",34.6,26,44.2
"SalineCounty,Nebraska",36.3,31.4,40.9
"SarpyCounty,Nebraska",32.4,30.1,34.8
"SaundersCounty,Nebraska",34.8,30.4,39.3
"ScottsBluffCounty,Nebraska",35.9,33.2,38.7
"SewardCounty,Nebraska",31.7,27.8,35.8
"SheridanCounty,Nebraska",32.3,27.7,37.3
"ShermanCounty,Nebraska",35.6,28.3,43.7
"SiouxCounty,Nebraska",22.3,15.1,30.3
"StantonCounty,Nebraska",37.6,30.8,44.4
"ThayerCounty,Nebraska",32.4,26.4,38.7
"ThomasCounty,Nebraska",27,19.4,36.1
"ThurstonCounty,Nebraska",44.4,39.3,49.7
"ValleyCounty,Nebraska",32,26.1,38.5
"WashingtonCounty,Nebraska",31.8,27.4,36.5
"WayneCounty,Nebraska",34.8,30.4,39.3
"WebsterCounty,Nebraska",33.7,27.7,40.6
"WheelerCounty,Nebraska",28.4,20.6,37.7
"YorkCounty,Nebraska",36.4,32.3,40.6
"CarsonCity,Nevada",28.4,24.2,32.9
"ChurchillCounty,Nevada",32.4,27.2,38.5
"ClarkCounty,Nevada",25.3,23.8,27
"DouglasCounty,Nevada",24.5,20.3,29
"ElkoCounty,Nevada",28.7,24.5,33.3
"EsmeraldaCounty,Nevada",27.5,16.4,41.2
"EurekaCounty,Nevada",21.3,13.3,32.9
"HumboldtCounty,Nevada",33.1,26.5,40
"LanderCounty,Nevada",34.9,24.9,46
"LincolnCounty,Nevada",29.9,20.9,40
"LyonCounty,Nevada",35.8,30.8,41
"MineralCounty,Nevada",29.8,19.3,42.9
"NyeCounty,Nevada",33.8,28.4,39.9
"PershingCounty,Nevada",34.3,24.3,44.7
"StoreyCounty,Nevada",22.5,14.8,31.6
"WashoeCounty,Nevada",23.1,21.3,25
"WhitePineCounty,Nevada",32.9,24.8,41.9
"BelknapCounty,NewHampshire",28.5,25.1,31.9
"CarrollCounty,NewHampshire",27.6,24.2,31
"CheshireCounty,NewHampshire",29.6,26.6,32.7
"CoosCounty,NewHampshire",34.2,30.5,38
"GraftonCounty,NewHampshire",23.3,20.5,26.4
"HillsboroughCounty,NewHampshire",27.6,26,29.3
"MerrimackCounty,NewHampshire",27.3,25,29.6
"RockinghamCounty,NewHampshire",25.7,23.6,27.6
"StraffordCounty,NewHampshire",29.5,27,32.2
"SullivanCounty,NewHampshire",33.9,30.5,37.5
"AtlanticCounty,NewJersey",29.1,26.1,32.1
"BergenCounty,NewJersey",21.8,19.4,24.3
"BurlingtonCounty,NewJersey",28.6,25.9,31.5
"CamdenCounty,NewJersey",31.2,28.6,34.2
"CapeMayCounty,NewJersey",28.7,25.5,32.2
"CumberlandCounty,NewJersey",35.8,32.6,38.9
"EssexCounty,NewJersey",28.8,26.9,30.9
"GloucesterCounty,NewJersey",30.5,27.6,33.2
"HudsonCounty,NewJersey",24.2,21.8,26.8
"HunterdonCounty,NewJersey",19.4,16.9,22
"MercerCounty,NewJersey",25.4,22.9,28.1
"MiddlesexCounty,NewJersey",25.5,23.2,28
"MonmouthCounty,NewJersey",24.5,21.8,27.3
"MorrisCounty,NewJersey",20.4,18,23
"OceanCounty,NewJersey",27.7,25,30.7
"PassaicCounty,NewJersey",27,24.4,30.1
"SalemCounty,NewJersey",36.3,33.2,39.7
"SomersetCounty,NewJersey",21.5,19.1,24.2
"SussexCounty,NewJersey",26.7,23.7,29.5
"UnionCounty,NewJersey",24.6,22.1,27.3
"WarrenCounty,NewJersey",28.7,25.9,31.8
"BernalilloCounty,NewMexico",23.4,21.4,25.6
"CatronCounty,NewMexico",25.2,17.7,33.5
"ChavesCounty,NewMexico",34.1,28.9,39.6
"CibolaCounty,NewMexico",31.1,26.6,36
"ColfaxCounty,NewMexico",28.1,21.2,35.8
"CurryCounty,NewMexico",30.2,25.5,34.9
"DeBacaCounty,NewMexico",38.3,26.3,51.1
"DoñaAnaCounty,NewMexico",28.6,25.3,32.1
"EddyCounty,NewMexico",34.5,29.8,39.9
"GrantCounty,NewMexico",27.1,22,33.1
"GuadalupeCounty,NewMexico",35.5,25.2,47.6
"HardingCounty,NewMexico",23.1,14.6,35.1
"HidalgoCounty,NewMexico",24.1,16.1,34.6
"LeaCounty,NewMexico",33,28.1,38
"LincolnCounty,NewMexico",23.2,18.5,28.4
"LosAlamosCounty,NewMexico",22.4,17.2,28.9
"LunaCounty,NewMexico",32.7,25.1,40.2
"MckinleyCounty,NewMexico",38.6,35.7,41.6
"MoraCounty,NewMexico",26.6,18,36.3
"OteroCounty,NewMexico",31.5,27.3,36
"QuayCounty,NewMexico",30,22.6,38.4
"RioArribaCounty,NewMexico",28.2,23.7,33.5
"RooseveltCounty,NewMexico",28.8,22.5,35.7
"SanJuanCounty,NewMexico",33.4,31.4,35.7
"SanMiguelCounty,NewMexico",28.8,22.3,36.3
"SandovalCounty,NewMexico",24.7,21.2,28.4
"SantaFeCounty,NewMexico",14.2,11.9,16.6
"SierraCounty,NewMexico",26.6,20.1,33.7
"SocorroCounty,NewMexico",33.6,26,41.9
"TaosCounty,NewMexico",18.7,14.6,22.9
"TorranceCounty,NewMexico",24.7,17.4,32.2
"UnionCounty,NewMexico",31.9,22.5,42.3
"ValenciaCounty,NewMexico",31.5,26.2,37.2
"AlbanyCounty,NewYork",27,24.2,29.7
"AlleganyCounty,NewYork",36,32,40.5
"BronxCounty,NewYork",28.8,26.3,31.7
"BroomeCounty,NewYork",27.7,24.5,31.3
"CattaraugusCounty,NewYork",37.8,33.8,42.2
"CayugaCounty,NewYork",34,30,38.6
"ChautauquaCounty,NewYork",33.1,30,36.1
"ChemungCounty,NewYork",36,31.4,40.9
"ChenangoCounty,NewYork",39,34.2,43.8
"ClintonCounty,NewYork",35.4,32.1,38.9
"ColumbiaCounty,NewYork",23,19.2,26.9
"CortlandCounty,NewYork",34.9,30.1,39.6
"DelawareCounty,NewYork",29.7,25.3,34
"DutchessCounty,NewYork",26.4,23.1,29.5
"ErieCounty,NewYork",29.7,27.5,32.3
"EssexCounty,NewYork",29,24.9,33.5
"FranklinCounty,NewYork",33.8,29.6,37.9
"FultonCounty,NewYork",34,29.5,38
"GeneseeCounty,NewYork",36.9,32,41.6
"GreeneCounty,NewYork",27.5,23.3,32.2
"HamiltonCounty,NewYork",29.9,24.7,35.4
"HerkimerCounty,NewYork",31.7,27.9,36.2
"JeffersonCounty,NewYork",34.4,31,38.1
"KingsCounty,NewYork",22.6,21.2,24.1
"LewisCounty,NewYork",38.2,33.1,43.9
"LivingstonCounty,NewYork",35.2,30.5,40.3
"MadisonCounty,NewYork",29.9,25.3,34.9
"MonroeCounty,NewYork",29,26.5,31.7
"MontgomeryCounty,NewYork",35.1,30.3,40.2
"NassauCounty,NewYork",23,20.9,25.4
"NewYorkCounty,NewYork",14.7,13.5,16
"NiagaraCounty,NewYork",33.5,29.4,37.7
"OneidaCounty,NewYork",33.5,29.9,37.2
"OnondagaCounty,NewYork",29.4,26.6,32
"OntarioCounty,NewYork",33,28.7,37.4
"OrangeCounty,NewYork",30.2,27.1,33.4
"OrleansCounty,NewYork",38.4,32.6,43.8
"OswegoCounty,NewYork",33.8,29.7,37.9
"OtsegoCounty,NewYork",29.6,25.8,33.6
"PutnamCounty,NewYork",22.1,18.6,25.9
"QueensCounty,NewYork",23,21.2,24.7
"RensselaerCounty,NewYork",30.4,26.6,34.3
"RichmondCounty,NewYork",27.1,24.1,30.1
"RocklandCounty,NewYork",22.8,19.9,26
"SaratogaCounty,NewYork",25.5,22.7,28.5
"SchenectadyCounty,NewYork",29.8,25.9,33.7
"SchoharieCounty,NewYork",35.5,30.8,40.3
"SchuylerCounty,NewYork",31.6,26.6,36.9
"SenecaCounty,NewYork",38.4,33.7,43.5
"St.LawrenceCounty,NewYork",32.5,29.1,36
"SteubenCounty,NewYork",33.9,29.6,38.4
"SuffolkCounty,NewYork",24,21.8,26.2
"SullivanCounty,NewYork",32.6,28.4,36.9
"TiogaCounty,NewYork",34.8,30,39.4
"TompkinsCounty,NewYork",23,19.5,26.4
"UlsterCounty,NewYork",28.4,24.9,32
"WarrenCounty,NewYork",30.7,26.8,34.7
"WashingtonCounty,NewYork",34.1,30.2,38.1
"WayneCounty,NewYork",36.4,32.2,40.7
"WestchesterCounty,NewYork",20.3,18.3,22.3
"WyomingCounty,NewYork",38,33.5,42.9
"YatesCounty,NewYork",28.9,24.6,33.8
"AlamanceCounty,NorthCarolina",32.3,26.4,38.6
"AlexanderCounty,NorthCarolina",34.9,24.2,45.7
"AlleghanyCounty,NorthCarolina",24.5,15.9,37
"AnsonCounty,NorthCarolina",38.4,26.9,50.4
"AsheCounty,NorthCarolina",25.7,17.7,35.4
"AveryCounty,NorthCarolina",26,16.9,37.1
"BeaufortCounty,NorthCarolina",39.5,31,48.6
"BertieCounty,NorthCarolina",43.4,35.3,51.7
"BladenCounty,NorthCarolina",44,34.2,54.4
"BrunswickCounty,NorthCarolina",29.3,23.3,36
"BuncombeCounty,NorthCarolina",21.7,17.8,25.3
"BurkeCounty,NorthCarolina",36.9,29.5,44.6
"CabarrusCounty,NorthCarolina",35.6,29.7,41.8
"CaldwellCounty,NorthCarolina",39.4,30.5,48.4
"CamdenCounty,NorthCarolina",32.1,22.1,44.8
"CarteretCounty,NorthCarolina",31.9,25.3,39.4
"CaswellCounty,NorthCarolina",28.1,17.1,42.1
"CatawbaCounty,NorthCarolina",31.3,25.2,37.3
"ChathamCounty,NorthCarolina",23.1,16.4,31.2
"CherokeeCounty,NorthCarolina",26.9,21.1,34.1
"ChowanCounty,NorthCarolina",38.8,29.4,48.8
"ClayCounty,NorthCarolina",32.1,22.3,42.6
"ClevelandCounty,NorthCarolina",38.4,30.1,46.7
"ColumbusCounty,NorthCarolina",46.7,38.3,55
"CravenCounty,NorthCarolina",30.8,24.9,37.2
"CumberlandCounty,NorthCarolina",33.9,30.3,37.7
"CurrituckCounty,NorthCarolina",28.2,19.5,37.5
"DareCounty,NorthCarolina",21.9,17.1,27.4
"DavidsonCounty,NorthCarolina",31.7,25.7,37.7
"DavieCounty,NorthCarolina",42.1,31.4,52.6
"DuplinCounty,NorthCarolina",39.7,30.6,49.2
"DurhamCounty,NorthCarolina",24.7,21.1,28.5
"EdgecombeCounty,NorthCarolina",37.3,26.7,48.1
"ForsythCounty,NorthCarolina",32.8,29,36.7
"FranklinCounty,NorthCarolina",35.8,26.3,46
"GastonCounty,NorthCarolina",28.9,23.3,35.1
"GatesCounty,NorthCarolina",44.7,32.6,57.6
"GrahamCounty,NorthCarolina",43.9,31.5,56.6
"GranvilleCounty,NorthCarolina",36.9,27,47.6
"GreeneCounty,NorthCarolina",28.1,18,39.9
"GuilfordCounty,NorthCarolina",33.3,29.7,37.2
"HalifaxCounty,NorthCarolina",43.8,35.4,52.2
"HarnettCounty,NorthCarolina",33.1,26.8,40.2
"HaywoodCounty,NorthCarolina",32.2,27.1,37.5
"HendersonCounty,NorthCarolina",28.2,22.4,34.7
"HertfordCounty,NorthCarolina",46.1,36.6,55.3
"HokeCounty,NorthCarolina",37.2,27.9,47
"HydeCounty,NorthCarolina",36.3,22.9,51.7
"IredellCounty,NorthCarolina",31.3,24.9,38.3
"JacksonCounty,NorthCarolina",28.3,22.6,34.6
"JohnstonCounty,NorthCarolina",37.1,30.9,43.6
"JonesCounty,NorthCarolina",40.8,27,55.5
"LeeCounty,NorthCarolina",32.7,25.3,41.2
"LenoirCounty,NorthCarolina",33.3,25.8,40.8
"LincolnCounty,NorthCarolina",37.2,27.8,46.6
"MaconCounty,NorthCarolina",29.1,21.4,37.7
"MadisonCounty,NorthCarolina",25.7,18.7,34.5
"MartinCounty,NorthCarolina",43.2,33.3,53.6
"McdowellCounty,NorthCarolina",40.4,33.6,47.7
"MecklenburgCounty,NorthCarolina",27.8,25.4,30.2
"MitchellCounty,NorthCarolina",26.3,17.5,38.4
"MontgomeryCounty,NorthCarolina",36.6,25.7,49.6
"MooreCounty,NorthCarolina",26.3,20.5,33.5
"NashCounty,NorthCarolina",41.8,33.6,51
"NewHanoverCounty,NorthCarolina",26.3,22,30.8
"NorthamptonCounty,NorthCarolina",33.9,24.4,45.5
"OnslowCounty,NorthCarolina",30.3,25.6,35.3
"OrangeCounty,NorthCarolina",22.7,17.6,28.8
"PamlicoCounty,NorthCarolina",37.7,25.9,50.1
"PasquotankCounty,NorthCarolina",39.4,33.5,45.7
"PenderCounty,NorthCarolina",30,22.2,38.8
"PerquimansCounty,NorthCarolina",34.2,25.2,43.9
"PersonCounty,NorthCarolina",28.8,19.5,40.3
"PittCounty,NorthCarolina",35.9,31.1,40.8
"PolkCounty,NorthCarolina",33.6,23.3,44.9
"RandolphCounty,NorthCarolina",32.5,25.4,40.3
"RichmondCounty,NorthCarolina",38.8,29.1,49.4
"RobesonCounty,NorthCarolina",39.1,33.8,44.1
"RockinghamCounty,NorthCarolina",36.5,27.9,45.9
"RowanCounty,NorthCarolina",37.8,30.6,45.7
"RutherfordCounty,NorthCarolina",27.9,20.3,36.5
"SampsonCounty,NorthCarolina",34.9,26.8,43.1
"ScotlandCounty,NorthCarolina",39.4,30.6,48.8
"StanlyCounty,NorthCarolina",28.3,20,38.7
"StokesCounty,NorthCarolina",32.4,24.2,42.1
"SurryCounty,NorthCarolina",29.9,22.4,38
"SwainCounty,NorthCarolina",31.2,20.7,43.4
"TransylvaniaCounty,NorthCarolina",27.1,20.9,34.1
"TyrrellCounty,NorthCarolina",43.4,28.6,59.7
"UnionCounty,NorthCarolina",31.7,25.8,38
"VanceCounty,NorthCarolina",34.3,23.4,47.1
"WakeCounty,NorthCarolina",24.8,22.5,27.2
"WarrenCounty,NorthCarolina",40.8,26.6,55.4
"WashingtonCounty,NorthCarolina",42.3,31.6,54.3
"WataugaCounty,NorthCarolina",17,12.2,23.4
"WayneCounty,NorthCarolina",38,32.6,43.4
"WilkesCounty,NorthCarolina",43.5,35.7,52
"WilsonCounty,NorthCarolina",32.2,23.7,41.2
"YadkinCounty,NorthCarolina",39.4,28.3,52
"YanceyCounty,NorthCarolina",30,19.4,43.2
"AdamsCounty,NorthDakota",29.6,21.4,38.9
"BarnesCounty,NorthDakota",36.2,30,42.5
"BensonCounty,NorthDakota",37.9,29.3,47.8
"BillingsCounty,NorthDakota",29,18.6,40.2
"BottineauCounty,NorthDakota",33.7,27.8,39.7
"BowmanCounty,NorthDakota",22.4,16.3,30.2
"BurkeCounty,NorthDakota",37.9,27.7,47.8
"BurleighCounty,NorthDakota",30.6,28.4,32.9
"CassCounty,NorthDakota",31.4,29.6,33.4
"CavalierCounty,NorthDakota",35.8,27.8,43.6
"DickeyCounty,NorthDakota",35.7,28.6,43.3
"DivideCounty,NorthDakota",34.6,24.7,45.6
"DunnCounty,NorthDakota",32.4,25.5,40.2
"EddyCounty,NorthDakota",31.1,23.6,39.8
"EmmonsCounty,NorthDakota",25,18.8,32.7
"FosterCounty,NorthDakota",35.8,27.4,45.1
"GoldenValleyCounty,NorthDakota",32.8,23.5,43.4
"GrandForksCounty,NorthDakota",31.2,28.4,34.1
"GrantCounty,NorthDakota",27.7,20.5,36.2
"GriggsCounty,NorthDakota",29.7,21.6,39.4
"HettingerCounty,NorthDakota",33,23,43.7
"KidderCounty,NorthDakota",39.1,29.7,48.7
"LamoureCounty,NorthDakota",31.1,24.4,38.1
"LoganCounty,NorthDakota",28.1,20,37.9
"MchenryCounty,NorthDakota",32.1,25.3,38.5
"McintoshCounty,NorthDakota",25.9,19.2,33.8
"MckenzieCounty,NorthDakota",28.8,23.9,34.2
"McleanCounty,NorthDakota",34.2,28.8,40.2
"MercerCounty,NorthDakota",30.7,25.9,35.7
"MortonCounty,NorthDakota",33.7,29.9,37.9
"MountrailCounty,NorthDakota",38.5,33.1,44.7
"NelsonCounty,NorthDakota",38.3,30.5,46.2
"OliverCounty,NorthDakota",27.2,19.1,36.4
"PembinaCounty,NorthDakota",39.1,32.5,46.1
"PierceCounty,NorthDakota",36.9,29,45.4
"RamseyCounty,NorthDakota",30.3,25.2,36
"RansomCounty,NorthDakota",32.5,26.1,40.1
"RenvilleCounty,NorthDakota",28.5,20.3,37.2
"RichlandCounty,NorthDakota",36,31.3,41.4
"RoletteCounty,NorthDakota",42.7,36.8,48.5
"SargentCounty,NorthDakota",30.8,24,39.3
"SheridanCounty,NorthDakota",37.3,27.4,48.1
"SiouxCounty,NorthDakota",38.5,29.5,49
"SlopeCounty,NorthDakota",25.7,15.8,37.8
"StarkCounty,NorthDakota",33.4,29.2,37.7
"SteeleCounty,NorthDakota",35.1,25.5,46.5
"StutsmanCounty,NorthDakota",32.3,27.3,37.2
"TownerCounty,NorthDakota",36.4,27.1,46.1
"TraillCounty,NorthDakota",37.6,31,45.1
"WalshCounty,NorthDakota",34.4,28.1,40.8
"WardCounty,NorthDakota",33.5,30.8,36.3
"WellsCounty,NorthDakota",37.1,30,45
"WilliamsCounty,NorthDakota",36.7,32.9,40.3
"AdamsCounty,Ohio",32.3,24.9,40.1
"AllenCounty,Ohio",34.1,29.5,39
"AshlandCounty,Ohio",32.8,25.4,42.1
"AshtabulaCounty,Ohio",38,31.5,44.4
"AthensCounty,Ohio",33.6,29.3,38
"AuglaizeCounty,Ohio",38.6,32.8,44.7
"BelmontCounty,Ohio",34.9,30.6,39.5
"BrownCounty,Ohio",34.2,27.4,41.6
"ButlerCounty,Ohio",32.1,28,36.1
"CarrollCounty,Ohio",38.7,31.6,46.6
"ChampaignCounty,Ohio",31.6,23.5,40.5
"ClarkCounty,Ohio",33.6,28.5,39.2
"ClermontCounty,Ohio",37.1,31.7,42.3
"ClintonCounty,Ohio",32.8,22.9,43.8
"ColumbianaCounty,Ohio",36.3,30.7,42.7
"CoshoctonCounty,Ohio",37.7,31.7,44.2
"CrawfordCounty,Ohio",31.2,25.4,37.6
"CuyahogaCounty,Ohio",30.2,27.9,32.7
"DarkeCounty,Ohio",35.8,27,44.6
"DefianceCounty,Ohio",32,24.9,39.4
"DelawareCounty,Ohio",26.4,23.1,30.1
"ErieCounty,Ohio",33.4,27.9,39
"FairfieldCounty,Ohio",31.8,26.9,37
"FayetteCounty,Ohio",36.1,29,43.8
"FranklinCounty,Ohio",29.8,27.9,31.7
"FultonCounty,Ohio",30.5,23.8,38.2
"GalliaCounty,Ohio",38.4,32.9,44.1
"GeaugaCounty,Ohio",23.8,17.9,30.7
"GreeneCounty,Ohio",29.2,24.5,34.1
"GuernseyCounty,Ohio",36.8,30.8,43.3
"HamiltonCounty,Ohio",28.6,26.1,31.1
"HancockCounty,Ohio",33,28.2,37.9
"HardinCounty,Ohio",36.8,30,44.1
"HarrisonCounty,Ohio",35.5,27.8,43.8
"HenryCounty,Ohio",32.5,24.9,41
"HighlandCounty,Ohio",31.4,24.8,37.8
"HockingCounty,Ohio",41.3,34.9,48.1
"HolmesCounty,Ohio",29.1,20.1,39.3
"HuronCounty,Ohio",38.3,31.8,45.3
"JacksonCounty,Ohio",39.7,34,45.8
"JeffersonCounty,Ohio",34.1,29.8,38.5
"KnoxCounty,Ohio",30.3,25,35.4
"LakeCounty,Ohio",24.7,19.9,30
"LawrenceCounty,Ohio",40.4,36.2,44.8
"LickingCounty,Ohio",31.7,26.9,36.8
"LoganCounty,Ohio",41.1,32.8,48.8
"LorainCounty,Ohio",36.3,31.6,41.4
"LucasCounty,Ohio",34.8,32,37.7
"MadisonCounty,Ohio",37.5,28.1,46.8
"MahoningCounty,Ohio",31.4,27.4,36
"MarionCounty,Ohio",40.2,35.1,45.3
"MedinaCounty,Ohio",28.6,23.3,34.3
"MeigsCounty,Ohio",40.7,34.4,47.3
"MercerCounty,Ohio",34.7,28.5,40.6
"MiamiCounty,Ohio",37.4,31.4,44.2
"MonroeCounty,Ohio",37.6,29.9,45.6
"MontgomeryCounty,Ohio",33.1,30,36.5
"MorganCounty,Ohio",32.3,24.6,39.8
"MorrowCounty,Ohio",38.8,31.8,46.4
"MuskingumCounty,Ohio",36.4,32.2,40.4
"NobleCounty,Ohio",40.7,32.5,49.7
"OttawaCounty,Ohio",33.5,27,40.5
"PauldingCounty,Ohio",37.3,28.9,46.2
"PerryCounty,Ohio",35.5,29.8,41.5
"PickawayCounty,Ohio",33.9,26.1,42.1
"PikeCounty,Ohio",37,30,44.4
"PortageCounty,Ohio",28.2,23,33.5
"PrebleCounty,Ohio",27.9,19.8,37.2
"PutnamCounty,Ohio",37.4,31.6,43.3
"RichlandCounty,Ohio",32.3,28.1,36.8
"RossCounty,Ohio",36.7,32,41.8
"SanduskyCounty,Ohio",34.1,27.9,40.7
"SciotoCounty,Ohio",38.2,33.7,42.8
"SenecaCounty,Ohio",34.3,28.3,41
"ShelbyCounty,Ohio",32.1,23.9,40.3
"StarkCounty,Ohio",34.8,31,38.6
"SummitCounty,Ohio",29.7,26.5,33
"TrumbullCounty,Ohio",39,34.1,44.4
"TuscarawasCounty,Ohio",33,29,37.4
"UnionCounty,Ohio",32.6,27.3,38.2
"VanWertCounty,Ohio",41,33.3,49.4
"VintonCounty,Ohio",36.3,28.3,45.1
"WarrenCounty,Ohio",27.4,22.9,32.4
"WashingtonCounty,Ohio",37.2,33,41.4
"WayneCounty,Ohio",26.7,20.8,33.5
"WilliamsCounty,Ohio",34.9,27.7,42.9
"WoodCounty,Ohio",34.3,29.5,39.3
"WyandotCounty,Ohio",36.6,28.3,45.4
"AdairCounty,Oklahoma",48,37.6,57.5
"AlfalfaCounty,Oklahoma",34.6,25.3,44.9
"AtokaCounty,Oklahoma",41,30.9,52.1
"BeaverCounty,Oklahoma",36.7,27.6,46.4
"BeckhamCounty,Oklahoma",34.7,27,43.1
"BlaineCounty,Oklahoma",33.9,26.1,42.7
"BryanCounty,Oklahoma",33.3,27.4,40
"CaddoCounty,Oklahoma",44.2,37.1,50.9
"CanadianCounty,Oklahoma",34.8,31,38.5
"CarterCounty,Oklahoma",38.8,33.4,44.4
"CherokeeCounty,Oklahoma",39.1,32,46.7
"ChoctawCounty,Oklahoma",34,26,42
"CimarronCounty,Oklahoma",28.3,18.1,40
"ClevelandCounty,Oklahoma",34.6,31.5,38
"CoalCounty,Oklahoma",35.2,23.5,47.8
"ComancheCounty,Oklahoma",32.2,28.2,36.2
"CottonCounty,Oklahoma",39.5,27.5,52.3
