Location,Obesity Percentage,Lower Limit,Upper Limit
"DuvalCounty,Florida",31.1,29,33.3
"EscambiaCounty,Florida",29.2,26.3,32.3
"FlaglerCounty,Florida",26,22.6,29.9
"FranklinCounty,Florida",36.3,31.8,40.8
"GadsdenCounty,Florida",42.6,38.2,47.4
"GilchristCounty,Florida",37.7,32.1,43.7
"GladesCounty,Florida",37,31.1,43.3
"GulfCounty,Florida",33.3,29.1,37.6
"HamiltonCounty,Florida",41.4,37.4,45.3
"HardeeCounty,Florida",38.6,33.7,43.9
"HendryCounty,Florida",34.4,29.4,38.9
"HernandoCounty,Florida",31.8,28.1,35.9
"HighlandsCounty,Florida",31.6,28,35.6
"HillsboroughCounty,Florida",24.1,22,26.2
"HolmesCounty,Florida",33.3,29.1,37.5
"IndianRiverCounty,Florida",27.2,23.3,31.4
"JacksonCounty,Florida",36.9,33.4,40.4
"JeffersonCounty,Florida",34.3,29.1,39.4
"LafayetteCounty,Florida",32.5,27.5,37.3
"LakeCounty,Florida",31.3,27.9,34.7
"LeeCounty,Florida",26.1,23.3,29.3
"LeonCounty,Florida",30.7,28.2,33.3
"LevyCounty,Florida",31.6,28,35.6
"LibertyCounty,Florida",39.2,34,44.3
"MadisonCounty,Florida",35.5,32,39.3
"ManateeCounty,Florida",26.6,23.4,30.1
"MarionCounty,Florida",30.7,27.7,34.1
"MartinCounty,Florida",19.2,16,22.5
"Miami-DadeCounty,Florida",21.8,19.4,24.7
"MonroeCounty,Florida",21.4,17.9,25.1
"NassauCounty,Florida",28,24.5,32.1
"OkaloosaCounty,Florida",26.9,23.9,30
"OkeechobeeCounty,Florida",32.9,28.7,37.2
"OrangeCounty,Florida",25.2,22.9,27.6
"OsceolaCounty,Florida",29.9,26.4,33.7
"PalmBeachCounty,Florida",21.1,18.8,23.6
"PascoCounty,Florida",32,28.8,35.3
"PinellasCounty,Florida",24.6,22.1,27.1
"PolkCounty,Florida",37.6,34.6,40.9
"PutnamCounty,Florida",39.5,35.7,43.4
"SantaRosaCounty,Florida",29.9,26.6,33.3
"SarasotaCounty,Florida",21.5,18.6,24.7
"SeminoleCounty,Florida",26.3,23.3,29.4
"St.JohnsCounty,Florida",22.7,19.6,25.8
"St.LucieCounty,Florida",29.9,26.5,33.7
"SumterCounty,Florida",31.8,27,36.8
"SuwanneeCounty,Florida",39,35.6,42.6
"TaylorCounty,Florida",34.6,31.2,38
"UnionCounty,Florida",36.6,31.8,41.3
"VolusiaCounty,Florida",30.1,27.1,33.4
"WakullaCounty,Florida",39.4,34.9,43.7
"WaltonCounty,Florida",31.9,28,36.2
"WashingtonCounty,Florida",38,33.9,41.9
"ApplingCounty,Georgia",39,27.5,52.4
"AtkinsonCounty,Georgia",34.7,22,49.2
"BaconCounty,Georgia",37.5,22.5,52.6
"BakerCounty,Georgia",35,18.6,54.7
"BaldwinCounty,Georgia",37.2,25.6,49.3
"BanksCounty,Georgia",34,23.5,45.4
