Location,Population,Obesity Percentage,Lower Limit,Upper Limit
"Larimer County,  Colorado",350518,20.1,18.1,22.1
"Chesterfield County,  Virginia",348556,31.8,28.5,35
"Marion County,  Oregon",346868,34,30.9,37.1
"Horry County,  South Carolina",344147,30.8,28.7,33.1
"Douglas County,  Colorado",342776,19.1,17.1,21.3
"Galveston County,  Texas",337890,33.6,30.9,36.7
"Cumberland County,  North Carolina",332330,33.9,30.3,37.7
"Somerset County,  New Jersey",331164,21.5,19.1,24.2
"Hamilton County,  Indiana",330086,25.5,23,28.1
"Henrico County,  Virginia",329261,31.6,28.5,34.7
"Boulder County,  Colorado",326078,15.1,13.4,17
"Rockland County,  New York",325695,22.8,19.9,26
"Rutherford County,  Tennessee",324890,35.9,31.4,40.6
"Fayette County,  Kentucky",323780,26.7,23.9,29.6
"Howard County,  Maryland",323196,24.8,22.4,27.3
"St. Lucie County,  Florida",321128,29.9,26.5,33.7
"Luzerne County,  Pennsylvania",317646,29.4,25,34.1
"Lancaster County,  Nebraska",317272,28.7,27.3,30.2
"Durham County,  North Carolina",316739,24.7,21.1,28.5
"Escambia County,  Florida",315534,29.2,26.3,32.3
"Weld County,  Colorado",314305,28.8,26.6,31.3
"Spartanburg County,  South Carolina",313888,32.3,29.5,35.4
"Lorain County,  Ohio",309461,36.3,31.6,41.4
"Rockingham County,  New Hampshire",309176,25.7,23.6,27.6
"Lubbock County,  Texas",307412,34.7,29.5,40.4
"Albany County,  New York",307117,27,24.2,29.7
"Northampton County,  Pennsylvania",304807,31.7,26.7,36.4
"Lexington County,  South Carolina",295032,31.7,28.7,34.8
"Dutchess County,  New York",293718,26.4,23.1,29.5
"Cumberland County,  Maine",293557,22.8,21.2,24.4
"Ingham County,  Michigan",292735,31.6,28.7,34.7
"Leon County,  Florida",292502,30.7,28.2,33.3
"Greene County,  Missouri",291923,33.1,28.8,37.7
"Anchorage Municipality,  Alaska",291538,31.7,29.3,34.2
"Gloucester County,  New Jersey",291408,30.5,27.6,33.2
"Ottawa County,  Michigan",290494,27,23.7,30.6
"Clayton County,  Georgia",289615,36.2,31.9,41.2
"Chatham County,  Georgia",289195,32.3,27.6,37
"Thurston County,  Washington",286419,29.8,27.2,32.4
"Winnebago County,  Illinois",284081,33.3,28.2,38.3
"San Luis Obispo County,  California",284010,25.3,20.4,30.2
"Cleveland County,  Oklahoma",281669,34.6,31.5,38
"Dauphin County,  Pennsylvania",277097,33.1,28.7,38.1
"Webb County,  Texas",275910,37.7,27.5,49.2
"Merced County,  California",274765,28.3,22.3,34.4
"Santa Cruz County,  California",274255,18.6,14.5,23.2
"York County,  South Carolina",274118,32.1,29.4,34.8
"Benton County,  Arkansas",272608,29.2,25.8,32.7
"Erie County,  Pennsylvania",272061,34.3,30.5,38.4
"St. Joseph County,  Indiana",270771,32.7,29.5,36.2
"Alachua County,  Florida",269956,26.9,24.4,29.8
"Kitsap County,  Washington",269805,30.7,27.8,33.8
"New London County,  Connecticut",266784,29.6,27.4,31.9
"Atlantic County,  New Jersey",265429,29.1,26.1,32.1
"Kalamazoo County,  Michigan",264870,31.4,27.9,35
"Madison County,  Illinois",264461,36.8,31.2,42.7
"Brown County,  Wisconsin",263378,32.5,28.5,37
"St. Clair County,  Illinois",261059,36.8,31.2,42.7
"Marin County,  California",259666,15.7,11.9,20.1
"Washington County,  Minnesota",259201,24.3,22.2,26.7
"Buncombe County,  North Carolina",259103,21.7,17.8,25.3
"St. Tammany Parish,  Louisiana",258111,30.1,26.3,34.1
"Weber County,  Utah",256359,31.2,29.1,33.1
"Frederick County,  Maryland",255648,28.7,26.7,30.9
