Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"KankakeeCounty,Illinois",7225,Restaurants and Other Eating Places,186,88.7,11.3,165
"KendallCounty,Illinois",7225,Restaurants and Other Eating Places,182,85.7,14.3,156
"KnoxCounty,Illinois",7225,Restaurants and Other Eating Places,96,90.6,9.4,87
"LakeCounty,Illinois",7225,Restaurants and Other Eating Places,"1,370",88.5,11.5,"1,213"
"LaSalleCounty,Illinois",7225,Restaurants and Other Eating Places,260,81.9,18.1,213
"LawrenceCounty,Illinois",7225,Restaurants and Other Eating Places,18,72.2,27.8,13
"LeeCounty,Illinois",7225,Restaurants and Other Eating Places,58,89.7,10.3,52
"LivingstonCounty,Illinois",7225,Restaurants and Other Eating Places,65,81.5,18.5,53
"LoganCounty,Illinois",7225,Restaurants and Other Eating Places,51,84.3,15.7,43
"McDonoughCounty,Illinois",7225,Restaurants and Other Eating Places,65,86.2,13.8,56
"McHenryCounty,Illinois",7225,Restaurants and Other Eating Places,563,87.9,12.1,495
"McLeanCounty,Illinois",7225,Restaurants and Other Eating Places,299,94,6,281
"MaconCounty,Illinois",7225,Restaurants and Other Eating Places,183,95.6,4.4,175
"MacoupinCounty,Illinois",7225,Restaurants and Other Eating Places,73,86.3,13.7,63
"MadisonCounty,Illinois",7225,Restaurants and Other Eating Places,455,92.7,7.3,422
"MarionCounty,Illinois",7225,Restaurants and Other Eating Places,63,85.7,14.3,54
"MarshallCounty,Illinois",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"MasonCounty,Illinois",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"MassacCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,15
"MenardCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,12
"MercerCounty,Illinois",7225,Restaurants and Other Eating Places,20,85,15,17
"MonroeCounty,Illinois",7225,Restaurants and Other Eating Places,56,94.6,5.4,53
"MontgomeryCounty,Illinois",7225,Restaurants and Other Eating Places,59,84.7,15.3,50
"MorganCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,47
"MoultrieCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,14
"OgleCounty,Illinois",7225,Restaurants and Other Eating Places,86,86,14,74
"PeoriaCounty,Illinois",7225,Restaurants and Other Eating Places,347,91.4,8.6,317
"PerryCounty,Illinois",7225,Restaurants and Other Eating Places,34,85.3,14.7,29
"PiattCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,16
"PikeCounty,Illinois",7225,Restaurants and Other Eating Places,24,87.5,12.5,21
"PopeCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,1
"PulaskiCounty,Illinois",7225,Restaurants and Other Eating Places,6,50,50,3
"PutnamCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,13
"RandolphCounty,Illinois",7225,Restaurants and Other Eating Places,54,83.3,16.7,45
"RichlandCounty,Illinois",7225,Restaurants and Other Eating Places,29,89.7,10.3,26
"RockIslandCounty,Illinois",7225,Restaurants and Other Eating Places,261,93.5,6.5,244
"St.ClairCounty,Illinois",7225,Restaurants and Other Eating Places,429,90.2,9.8,387
"SalineCounty,Illinois",7225,Restaurants and Other Eating Places,48,77.1,22.9,37
"SangamonCounty,Illinois",7225,Restaurants and Other Eating Places,418,90.9,9.1,380
"SchuylerCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,7
"ScottCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,5
"ShelbyCounty,Illinois",7225,Restaurants and Other Eating Places,26,88.5,11.5,23
"StarkCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,3
"StephensonCounty,Illinois",7225,Restaurants and Other Eating Places,78,84.6,15.4,66
"TazewellCounty,Illinois",7225,Restaurants and Other Eating Places,233,94.4,5.6,220
"UnionCounty,Illinois",7225,Restaurants and Other Eating Places,32,87.5,12.5,28
"VermilionCounty,Illinois",7225,Restaurants and Other Eating Places,117,86.3,13.7,101
"WabashCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,14
"WarrenCounty,Illinois",7225,Restaurants and Other Eating Places,24,75,25,18
"WashingtonCounty,Illinois",7225,Restaurants and Other Eating Places,D,D,D,17
"WayneCounty,Illinois",7225,Restaurants and Other Eating Places,32,75,25,24
"WhiteCounty,Illinois",7225,Restaurants and Other Eating Places,30,83.3,16.7,25
"WhitesideCounty,Illinois",7225,Restaurants and Other Eating Places,100,88,12,88
"WillCounty,Illinois",7225,Restaurants and Other Eating Places,"1,099",87.2,12.8,958
"WilliamsonCounty,Illinois",7225,Restaurants and Other Eating Places,116,91.4,8.6,106
"WinnebagoCounty,Illinois",7225,Restaurants and Other Eating Places,506,89.9,10.1,455
"WoodfordCounty,Illinois",7225,Restaurants and Other Eating Places,51,90.2,9.8,46
"AdamsCounty,Indiana",7225,Restaurants and Other Eating Places,51,80.4,19.6,41
"AllenCounty,Indiana",7225,Restaurants and Other Eating Places,647,88.4,11.6,572
"BartholomewCounty,Indiana",7225,Restaurants and Other Eating Places,157,93.6,6.4,147
"BentonCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,6
"BlackfordCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,11
"BooneCounty,Indiana",7225,Restaurants and Other Eating Places,109,90.8,9.2,99
"BrownCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,17
"CarrollCounty,Indiana",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"CassCounty,Indiana",7225,Restaurants and Other Eating Places,71,80.3,19.7,57
"ClarkCounty,Indiana",7225,Restaurants and Other Eating Places,223,84.8,15.2,189
"ClayCounty,Indiana",7225,Restaurants and Other Eating Places,42,92.9,7.1,39
"ClintonCounty,Indiana",7225,Restaurants and Other Eating Places,50,88,12,44
"CrawfordCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,13
"DaviessCounty,Indiana",7225,Restaurants and Other Eating Places,45,93.3,6.7,42
"DearbornCounty,Indiana",7225,Restaurants and Other Eating Places,66,95.5,4.5,63
"DecaturCounty,Indiana",7225,Restaurants and Other Eating Places,45,86.7,13.3,39
"DeKalbCounty,Indiana",7225,Restaurants and Other Eating Places,74,90.5,9.5,67
"DelawareCounty,Indiana",7225,Restaurants and Other Eating Places,183,93.4,6.6,171
"DuboisCounty,Indiana",7225,Restaurants and Other Eating Places,91,94.5,5.5,86
"ElkhartCounty,Indiana",7225,Restaurants and Other Eating Places,321,92.2,7.8,296
"FayetteCounty,Indiana",7225,Restaurants and Other Eating Places,43,90.7,9.3,39
"FloydCounty,Indiana",7225,Restaurants and Other Eating Places,150,89.3,10.7,134
"FountainCounty,Indiana",7225,Restaurants and Other Eating Places,30,80,20,24
"FranklinCounty,Indiana",7225,Restaurants and Other Eating Places,37,75.7,24.3,28
"FultonCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,38
"GibsonCounty,Indiana",7225,Restaurants and Other Eating Places,54,94.4,5.6,51
"GrantCounty,Indiana",7225,Restaurants and Other Eating Places,110,90.9,9.1,100
"GreeneCounty,Indiana",7225,Restaurants and Other Eating Places,47,83,17,39
"HamiltonCounty,Indiana",7225,Restaurants and Other Eating Places,623,90.7,9.3,565
"HancockCounty,Indiana",7225,Restaurants and Other Eating Places,97,86.6,13.4,84
"HarrisonCounty,Indiana",7225,Restaurants and Other Eating Places,49,77.6,22.4,38
"HendricksCounty,Indiana",7225,Restaurants and Other Eating Places,289,93.1,6.9,269
"HenryCounty,Indiana",7225,Restaurants and Other Eating Places,56,92.9,7.1,52
"HowardCounty,Indiana",7225,Restaurants and Other Eating Places,171,89.5,10.5,153
"HuntingtonCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,59
"JacksonCounty,Indiana",7225,Restaurants and Other Eating Places,81,85.2,14.8,69
"JasperCounty,Indiana",7225,Restaurants and Other Eating Places,54,88.9,11.1,48
"JayCounty,Indiana",7225,Restaurants and Other Eating Places,26,88.5,11.5,23
"JeffersonCounty,Indiana",7225,Restaurants and Other Eating Places,57,94.7,5.3,54
"JenningsCounty,Indiana",7225,Restaurants and Other Eating Places,32,59.4,40.6,19
"JohnsonCounty,Indiana",7225,Restaurants and Other Eating Places,279,94.3,5.7,263
"KnoxCounty,Indiana",7225,Restaurants and Other Eating Places,70,84.3,15.7,59
"KosciuskoCounty,Indiana",7225,Restaurants and Other Eating Places,151,94.7,5.3,143
"LaGrangeCounty,Indiana",7225,Restaurants and Other Eating Places,57,80.7,19.3,46
"LakeCounty,Indiana",7225,Restaurants and Other Eating Places,943,84.3,15.7,795
"LaPorteCounty,Indiana",7225,Restaurants and Other Eating Places,189,92.1,7.9,174
"LawrenceCounty,Indiana",7225,Restaurants and Other Eating Places,49,89.8,10.2,44
"MadisonCounty,Indiana",7225,Restaurants and Other Eating Places,189,93.7,6.3,177
"MarionCounty,Indiana",7225,Restaurants and Other Eating Places,"1,973",87.3,12.7,"1,723"
"MarshallCounty,Indiana",7225,Restaurants and Other Eating Places,79,91.1,8.9,72
"MartinCounty,Indiana",7225,Restaurants and Other Eating Places,24,83.3,16.7,20
"MiamiCounty,Indiana",7225,Restaurants and Other Eating Places,49,89.8,10.2,44
"MonroeCounty,Indiana",7225,Restaurants and Other Eating Places,281,92.9,7.1,261
"MontgomeryCounty,Indiana",7225,Restaurants and Other Eating Places,66,80.3,19.7,53
"MorganCounty,Indiana",7225,Restaurants and Other Eating Places,85,84.7,15.3,72
"NewtonCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,20
"NobleCounty,Indiana",7225,Restaurants and Other Eating Places,69,82.6,17.4,57
"OhioCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,5
"OrangeCounty,Indiana",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"OwenCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,16
"ParkeCounty,Indiana",7225,Restaurants and Other Eating Places,20,80,20,16
"PerryCounty,Indiana",7225,Restaurants and Other Eating Places,32,78.1,21.9,25
"PikeCounty,Indiana",7225,Restaurants and Other Eating Places,S,S,S,11
"PorterCounty,Indiana",7225,Restaurants and Other Eating Places,301,87,13,262
"PoseyCounty,Indiana",7225,Restaurants and Other Eating Places,31,71,29,22
"PulaskiCounty,Indiana",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"PutnamCounty,Indiana",7225,Restaurants and Other Eating Places,49,91.8,8.2,45
"RandolphCounty,Indiana",7225,Restaurants and Other Eating Places,37,81.1,18.9,30
"RipleyCounty,Indiana",7225,Restaurants and Other Eating Places,47,83,17,39
"RushCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,20
"St.JosephCounty,Indiana",7225,Restaurants and Other Eating Places,477,91,9,434
"ScottCounty,Indiana",7225,Restaurants and Other Eating Places,32,90.6,9.4,29
"ShelbyCounty,Indiana",7225,Restaurants and Other Eating Places,66,90.9,9.1,60
"SpencerCounty,Indiana",7225,Restaurants and Other Eating Places,18,83.3,16.7,15
"StarkeCounty,Indiana",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"SteubenCounty,Indiana",7225,Restaurants and Other Eating Places,79,84.8,15.2,67
"SullivanCounty,Indiana",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"SwitzerlandCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,8
"TippecanoeCounty,Indiana",7225,Restaurants and Other Eating Places,343,92.7,7.3,318
"UnionCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,6
"VanderburghCounty,Indiana",7225,Restaurants and Other Eating Places,370,94.6,5.4,350
"VermillionCounty,Indiana",7225,Restaurants and Other Eating Places,31,67.7,32.3,21
"VigoCounty,Indiana",7225,Restaurants and Other Eating Places,213,92,8,196
"WabashCounty,Indiana",7225,Restaurants and Other Eating Places,56,91.1,8.9,51
"WarrenCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,4
"WarrickCounty,Indiana",7225,Restaurants and Other Eating Places,70,90,10,63
"WashingtonCounty,Indiana",7225,Restaurants and Other Eating Places,30,80,20,24
"WayneCounty,Indiana",7225,Restaurants and Other Eating Places,131,92.4,7.6,121
"WellsCounty,Indiana",7225,Restaurants and Other Eating Places,35,82.9,17.1,29
"WhiteCounty,Indiana",7225,Restaurants and Other Eating Places,D,D,D,47
"WhitleyCounty,Indiana",7225,Restaurants and Other Eating Places,S,S,S,50
"AdairCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,10
"AllamakeeCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,29
"AppanooseCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"BentonCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,17
"BlackHawkCounty,Iowa",7225,Restaurants and Other Eating Places,229,94.3,5.7,216
"BooneCounty,Iowa",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"BremerCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,36
"BuchananCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,24
"BuenaVistaCounty,Iowa",7225,Restaurants and Other Eating Places,34,73.5,26.5,25
"ButlerCounty,Iowa",7225,Restaurants and Other Eating Places,16,81.3,18.8,13
"CalhounCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"CarrollCounty,Iowa",7225,Restaurants and Other Eating Places,37,86.5,13.5,32
"CassCounty,Iowa",7225,Restaurants and Other Eating Places,27,81.5,18.5,22
"CedarCounty,Iowa",7225,Restaurants and Other Eating Places,35,68.6,31.4,24
"CerroGordoCounty,Iowa",7225,Restaurants and Other Eating Places,110,87.3,12.7,96
"CherokeeCounty,Iowa",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"ChickasawCounty,Iowa",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"ClarkeCounty,Iowa",7225,Restaurants and Other Eating Places,12,75,25,9
"ClayCounty,Iowa",7225,Restaurants and Other Eating Places,50,88,12,44
"ClaytonCounty,Iowa",7225,Restaurants and Other Eating Places,41,85.4,14.6,35
"ClintonCounty,Iowa",7225,Restaurants and Other Eating Places,80,87.5,12.5,70
"CrawfordCounty,Iowa",7225,Restaurants and Other Eating Places,26,76.9,23.1,20
"DallasCounty,Iowa",7225,Restaurants and Other Eating Places,139,89.2,10.8,124
"DavisCounty,Iowa",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"DecaturCounty,Iowa",7225,Restaurants and Other Eating Places,10,70,30,7
"DelawareCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"DesMoinesCounty,Iowa",7225,Restaurants and Other Eating Places,82,95.1,4.9,78
"DickinsonCounty,Iowa",7225,Restaurants and Other Eating Places,59,89.8,10.2,53
"DubuqueCounty,Iowa",7225,Restaurants and Other Eating Places,181,89.5,10.5,162
"EmmetCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,16
"FayetteCounty,Iowa",7225,Restaurants and Other Eating Places,32,84.4,15.6,27
"FloydCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,25
"FranklinCounty,Iowa",7225,Restaurants and Other Eating Places,16,75,25,12
"FremontCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,11
"GreeneCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,16
"GrundyCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"GuthrieCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"HamiltonCounty,Iowa",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"HancockCounty,Iowa",7225,Restaurants and Other Eating Places,15,73.3,26.7,11
"HardinCounty,Iowa",7225,Restaurants and Other Eating Places,26,80.8,19.2,21
"HarrisonCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,17
"HenryCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,32
"HowardCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"HumboldtCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,15
"IdaCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"IowaCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"JacksonCounty,Iowa",7225,Restaurants and Other Eating Places,37,89.2,10.8,33
"JasperCounty,Iowa",7225,Restaurants and Other Eating Places,46,84.8,15.2,39
"JeffersonCounty,Iowa",7225,Restaurants and Other Eating Places,39,82.1,17.9,32
"JohnsonCounty,Iowa",7225,Restaurants and Other Eating Places,338,92.6,7.4,313
"JonesCounty,Iowa",7225,Restaurants and Other Eating Places,28,82.1,17.9,23
"KeokukCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"KossuthCounty,Iowa",7225,Restaurants and Other Eating Places,30,76.7,23.3,23
"LeeCounty,Iowa",7225,Restaurants and Other Eating Places,71,83.1,16.9,59
"LinnCounty,Iowa",7225,Restaurants and Other Eating Places,428,91.4,8.6,391
"LouisaCounty,Iowa",7225,Restaurants and Other Eating Places,17,70.6,29.4,12
"LucasCounty,Iowa",7225,Restaurants and Other Eating Places,13,69.2,30.8,9
"LyonCounty,Iowa",7225,Restaurants and Other Eating Places,15,80,20,12
"MadisonCounty,Iowa",7225,Restaurants and Other Eating Places,18,83.3,16.7,15
"MahaskaCounty,Iowa",7225,Restaurants and Other Eating Places,28,89.3,10.7,25
"MarionCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,47
"MarshallCounty,Iowa",7225,Restaurants and Other Eating Places,56,83.9,16.1,47
"MillsCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,14
"MitchellCounty,Iowa",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"MononaCounty,Iowa",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"MonroeCounty,Iowa",7225,Restaurants and Other Eating Places,16,81.3,18.8,13
"MontgomeryCounty,Iowa",7225,Restaurants and Other Eating Places,19,78.9,21.1,15
"MuscatineCounty,Iowa",7225,Restaurants and Other Eating Places,74,95.9,4.1,71
"O'BrienCounty,Iowa",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"OsceolaCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"PageCounty,Iowa",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"PaloAltoCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,21
"PlymouthCounty,Iowa",7225,Restaurants and Other Eating Places,45,86.7,13.3,39
"PolkCounty,Iowa",7225,Restaurants and Other Eating Places,948,90.7,9.3,860
"PottawattamieCounty,Iowa",7225,Restaurants and Other Eating Places,144,93.8,6.3,135
"PoweshiekCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,33
"SacCounty,Iowa",7225,Restaurants and Other Eating Places,20,75,25,15
"ScottCounty,Iowa",7225,Restaurants and Other Eating Places,319,94.4,5.6,301
"ShelbyCounty,Iowa",7225,Restaurants and Other Eating Places,17,76.5,23.5,13
"SiouxCounty,Iowa",7225,Restaurants and Other Eating Places,64,76.6,23.4,49
"StoryCounty,Iowa",7225,Restaurants and Other Eating Places,170,91.2,8.8,155
"TamaCounty,Iowa",7225,Restaurants and Other Eating Places,23,82.6,17.4,19
"TaylorCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,4
"VanBurenCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"WapelloCounty,Iowa",7225,Restaurants and Other Eating Places,65,89.2,10.8,58
"WarrenCounty,Iowa",7225,Restaurants and Other Eating Places,59,74.6,25.4,44
"WashingtonCounty,Iowa",7225,Restaurants and Other Eating Places,35,88.6,11.4,31
"WayneCounty,Iowa",7225,Restaurants and Other Eating Places,D,D,D,5
"WebsterCounty,Iowa",7225,Restaurants and Other Eating Places,64,92.2,7.8,59
"WinneshiekCounty,Iowa",7225,Restaurants and Other Eating Places,41,87.8,12.2,36
"WoodburyCounty,Iowa",7225,Restaurants and Other Eating Places,213,91.1,8.9,194
"WrightCounty,Iowa",7225,Restaurants and Other Eating Places,28,85.7,14.3,24
"AllenCounty,Kansas",7225,Restaurants and Other Eating Places,25,84,16,21
"AndersonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,13
"AtchisonCounty,Kansas",7225,Restaurants and Other Eating Places,25,84,16,21
"BarberCounty,Kansas",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"BartonCounty,Kansas",7225,Restaurants and Other Eating Places,49,91.8,8.2,45
"BourbonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,23
"BrownCounty,Kansas",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"ButlerCounty,Kansas",7225,Restaurants and Other Eating Places,97,89.7,10.3,87
"ChautauquaCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"CherokeeCounty,Kansas",7225,Restaurants and Other Eating Places,31,90.3,9.7,28
"CheyenneCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"ClarkCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"ClayCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,13
"CloudCounty,Kansas",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"CoffeyCounty,Kansas",7225,Restaurants and Other Eating Places,20,70,30,14
"ComancheCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"CowleyCounty,Kansas",7225,Restaurants and Other Eating Places,52,84.6,15.4,44
"CrawfordCounty,Kansas",7225,Restaurants and Other Eating Places,64,84.4,15.6,54
"DickinsonCounty,Kansas",7225,Restaurants and Other Eating Places,32,81.3,18.8,26
"DoniphanCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"DouglasCounty,Kansas",7225,Restaurants and Other Eating Places,241,95,5,229
"EdwardsCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,4
"ElkCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"EllisCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,63
"EllsworthCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"FinneyCounty,Kansas",7225,Restaurants and Other Eating Places,73,87.7,12.3,64
"FordCounty,Kansas",7225,Restaurants and Other Eating Places,70,74.3,25.7,52
"FranklinCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,38
"GearyCounty,Kansas",7225,Restaurants and Other Eating Places,57,94.7,5.3,54
"GoveCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"GrahamCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"GrantCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,16
"GrayCounty,Kansas",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"GreenwoodCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"HamiltonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"HarperCounty,Kansas",7225,Restaurants and Other Eating Places,17,76.5,23.5,13
"HarveyCounty,Kansas",7225,Restaurants and Other Eating Places,64,84.4,15.6,54
"HaskellCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"HodgemanCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,1
"JacksonCounty,Kansas",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
"JeffersonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"JewellCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"JohnsonCounty,Kansas",7225,Restaurants and Other Eating Places,"1,071",93.1,6.9,997
"KingmanCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"KiowaCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"LabetteCounty,Kansas",7225,Restaurants and Other Eating Places,48,72.9,27.1,35
"LeavenworthCounty,Kansas",7225,Restaurants and Other Eating Places,89,87.6,12.4,78
"LincolnCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"LinnCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,7
"LyonCounty,Kansas",7225,Restaurants and Other Eating Places,67,88.1,11.9,59
"McPhersonCounty,Kansas",7225,Restaurants and Other Eating Places,58,87.9,12.1,51
"MarionCounty,Kansas",7225,Restaurants and Other Eating Places,24,75,25,18
"MarshallCounty,Kansas",7225,Restaurants and Other Eating Places,18,77.8,22.2,14
"MeadeCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"MiamiCounty,Kansas",7225,Restaurants and Other Eating Places,44,88.6,11.4,39
"MitchellCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"MontgomeryCounty,Kansas",7225,Restaurants and Other Eating Places,64,87.5,12.5,56
"MorrisCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"MortonCounty,Kansas",7225,Restaurants and Other Eating Places,7,57.1,42.9,4
"NemahaCounty,Kansas",7225,Restaurants and Other Eating Places,20,85,15,17
"NeoshoCounty,Kansas",7225,Restaurants and Other Eating Places,24,75,25,18
"NessCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"NortonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,9
"OsageCounty,Kansas",7225,Restaurants and Other Eating Places,21,81,19,17
"OsborneCounty,Kansas",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"OttawaCounty,Kansas",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"PawneeCounty,Kansas",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"PhillipsCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,12
"PottawatomieCounty,Kansas",7225,Restaurants and Other Eating Places,39,76.9,23.1,30
"RawlinsCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"RenoCounty,Kansas",7225,Restaurants and Other Eating Places,111,89.2,10.8,99
"RepublicCounty,Kansas",7225,Restaurants and Other Eating Places,12,58.3,41.7,7
"RiceCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,18
"RileyCounty,Kansas",7225,Restaurants and Other Eating Places,114,95.6,4.4,109
"RooksCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"RushCounty,Kansas",7225,Restaurants and Other Eating Places,11,63.6,36.4,7
"RussellCounty,Kansas",7225,Restaurants and Other Eating Places,16,62.5,37.5,10
"SalineCounty,Kansas",7225,Restaurants and Other Eating Places,101,96,4,97
"SedgwickCounty,Kansas",7225,Restaurants and Other Eating Places,"1,016",90.9,9.1,924
"SewardCounty,Kansas",7225,Restaurants and Other Eating Places,42,73.8,26.2,31
"ShawneeCounty,Kansas",7225,Restaurants and Other Eating Places,319,93.7,6.3,299
"ShermanCounty,Kansas",7225,Restaurants and Other Eating Places,19,84.2,15.8,16
"SmithCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"StaffordCounty,Kansas",7225,Restaurants and Other Eating Places,12,75,25,9
"StantonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"StevensCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"SumnerCounty,Kansas",7225,Restaurants and Other Eating Places,35,88.6,11.4,31
"ThomasCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,18
"TregoCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,7
"WashingtonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,9
"WichitaCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"WilsonCounty,Kansas",7225,Restaurants and Other Eating Places,18,72.2,27.8,13
"WoodsonCounty,Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"WyandotteCounty,Kansas",7225,Restaurants and Other Eating Places,251,84.9,15.1,213
"AdairCounty,Kentucky",7225,Restaurants and Other Eating Places,20,80,20,16
"AllenCounty,Kentucky",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
