Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Bon Homme,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Brookings,  South Dakota",7225,Restaurants and Other Eating Places,60,90,10,54
"Brown,  South Dakota",7225,Restaurants and Other Eating Places,73,90.4,9.6,66
"Butte,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,20
"Campbell,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Charles Mix,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,13
"Clark,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Clay,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,23
"Codington,  South Dakota",7225,Restaurants and Other Eating Places,67,95.5,4.5,64
"Corson,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,2
"Custer,  South Dakota",7225,Restaurants and Other Eating Places,S,S,S,24
"Davison,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,48
"Deuel,  South Dakota",7225,Restaurants and Other Eating Places,5,40,60,2
"Dewey,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,2
"Edmunds,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,3
"Fall River,  South Dakota",7225,Restaurants and Other Eating Places,22,86.4,13.6,19
"Grant,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,18
"Hamlin,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Hand,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Hanson,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,1
"Hughes,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,31
"Hutchinson,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,11
"Jackson,  South Dakota",7225,Restaurants and Other Eating Places,S,S,S,6
"Jerauld,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Kingsbury,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,6
"Lake,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,22
"Lawrence,  South Dakota",7225,Restaurants and Other Eating Places,65,87.7,12.3,57
"Lincoln,  South Dakota",7225,Restaurants and Other Eating Places,54,90.7,9.3,49
"Lyman,  South Dakota",7225,Restaurants and Other Eating Places,7,57.1,42.9,4
"McCook,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,12
"McPherson,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,1
"Marshall,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,6
"Meade,  South Dakota",7225,Restaurants and Other Eating Places,38,84.2,15.8,32
"Miner,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Minnehaha,  South Dakota",7225,Restaurants and Other Eating Places,346,91.9,8.1,318
"Pennington,  South Dakota",7225,Restaurants and Other Eating Places,242,90.1,9.9,218
"Potter,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,7
"Roberts,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,16
"Shannon,  South Dakota",7225,Restaurants and Other Eating Places,8,50,50,4
"Spink,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,16
"Sully,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Todd,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,2
"Tripp,  South Dakota",7225,Restaurants and Other Eating Places,S,S,S,8
"Turner,  South Dakota",7225,Restaurants and Other Eating Places,D,D,D,11
"Walworth,  South Dakota",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"Yankton,  South Dakota",7225,Restaurants and Other Eating Places,46,91.3,8.7,42
"Anderson,  Tennessee",7225,Restaurants and Other Eating Places,131,88.5,11.5,116
"Bedford,  Tennessee",7225,Restaurants and Other Eating Places,73,69.9,30.1,51
"Benton,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,23
"Bledsoe,  Tennessee",7225,Restaurants and Other Eating Places,9,22.2,77.8,2
"Blount,  Tennessee",7225,Restaurants and Other Eating Places,186,84.9,15.1,158
"Bradley,  Tennessee",7225,Restaurants and Other Eating Places,168,89.3,10.7,150
"Campbell,  Tennessee",7225,Restaurants and Other Eating Places,48,85.4,14.6,41
"Cannon,  Tennessee",7225,Restaurants and Other Eating Places,19,63.2,36.8,12
"Carroll,  Tennessee",7225,Restaurants and Other Eating Places,41,80.5,19.5,33
"Carter,  Tennessee",7225,Restaurants and Other Eating Places,75,80,20,60
"Cheatham,  Tennessee",7225,Restaurants and Other Eating Places,50,78,22,39
"Chester,  Tennessee",7225,Restaurants and Other Eating Places,28,78.6,21.4,22
"Claiborne,  Tennessee",7225,Restaurants and Other Eating Places,35,77.1,22.9,27
"Clay,  Tennessee",7225,Restaurants and Other Eating Places,16,56.3,43.8,9
"Cocke,  Tennessee",7225,Restaurants and Other Eating Places,55,74.5,25.5,41
"Coffee,  Tennessee",7225,Restaurants and Other Eating Places,110,86.4,13.6,95
"Crockett,  Tennessee",7225,Restaurants and Other Eating Places,13,76.9,23.1,10
"Cumberland,  Tennessee",7225,Restaurants and Other Eating Places,97,83.5,16.5,81
"Davidson,  Tennessee",7225,Restaurants and Other Eating Places,"1,830",83.9,16.1,"1,535"
"Decatur,  Tennessee",7225,Restaurants and Other Eating Places,27,59.3,40.7,16
"DeKalb,  Tennessee",7225,Restaurants and Other Eating Places,25,64,36,16
"Dickson,  Tennessee",7225,Restaurants and Other Eating Places,93,88.2,11.8,82
"Dyer,  Tennessee",7225,Restaurants and Other Eating Places,79,65.8,34.2,52
"Fayette,  Tennessee",7225,Restaurants and Other Eating Places,38,68.4,31.6,26
"Fentress,  Tennessee",7225,Restaurants and Other Eating Places,25,64,36,16
"Franklin,  Tennessee",7225,Restaurants and Other Eating Places,63,84.1,15.9,53
"Gibson,  Tennessee",7225,Restaurants and Other Eating Places,72,79.2,20.8,57
"Giles,  Tennessee",7225,Restaurants and Other Eating Places,48,72.9,27.1,35
"Grainger,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,11
"Greene,  Tennessee",7225,Restaurants and Other Eating Places,117,75.2,24.8,88
"Grundy,  Tennessee",7225,Restaurants and Other Eating Places,21,42.9,57.1,9
"Hamblen,  Tennessee",7225,Restaurants and Other Eating Places,105,92.4,7.6,97
"Hamilton,  Tennessee",7225,Restaurants and Other Eating Places,804,87.8,12.2,706
"Hardeman,  Tennessee",7225,Restaurants and Other Eating Places,32,59.4,40.6,19
"Hardin,  Tennessee",7225,Restaurants and Other Eating Places,57,68.4,31.6,39
"Hawkins,  Tennessee",7225,Restaurants and Other Eating Places,67,77.6,22.4,52
"Haywood,  Tennessee",7225,Restaurants and Other Eating Places,34,70.6,29.4,24
"Henderson,  Tennessee",7225,Restaurants and Other Eating Places,37,83.8,16.2,31
"Henry,  Tennessee",7225,Restaurants and Other Eating Places,54,88.9,11.1,48
"Hickman,  Tennessee",7225,Restaurants and Other Eating Places,29,62.1,37.9,18
"Houston,  Tennessee",7225,Restaurants and Other Eating Places,19,73.7,26.3,14
"Humphreys,  Tennessee",7225,Restaurants and Other Eating Places,43,76.7,23.3,33
"Jackson,  Tennessee",7225,Restaurants and Other Eating Places,11,72.7,27.3,8
"Jefferson,  Tennessee",7225,Restaurants and Other Eating Places,74,90.5,9.5,67
"Johnson,  Tennessee",7225,Restaurants and Other Eating Places,27,70.4,29.6,19
"Knox,  Tennessee",7225,Restaurants and Other Eating Places,931,89.7,10.3,835
"Lake,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,5
"Lauderdale,  Tennessee",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"Lawrence,  Tennessee",7225,Restaurants and Other Eating Places,67,85.1,14.9,57
"Lewis,  Tennessee",7225,Restaurants and Other Eating Places,21,66.7,33.3,14
"Lincoln,  Tennessee",7225,Restaurants and Other Eating Places,48,83.3,16.7,40
"Loudon,  Tennessee",7225,Restaurants and Other Eating Places,86,86,14,74
"McMinn,  Tennessee",7225,Restaurants and Other Eating Places,88,83,17,73
"McNairy,  Tennessee",7225,Restaurants and Other Eating Places,40,77.5,22.5,31
"Macon,  Tennessee",7225,Restaurants and Other Eating Places,34,67.6,32.4,23
"Madison,  Tennessee",7225,Restaurants and Other Eating Places,212,84,16,178
"Marion,  Tennessee",7225,Restaurants and Other Eating Places,54,75.9,24.1,41
"Marshall,  Tennessee",7225,Restaurants and Other Eating Places,47,68.1,31.9,32
"Maury,  Tennessee",7225,Restaurants and Other Eating Places,178,84.3,15.7,150
"Meigs,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,8
"Monroe,  Tennessee",7225,Restaurants and Other Eating Places,67,89.6,10.4,60
"Montgomery,  Tennessee",7225,Restaurants and Other Eating Places,338,85.8,14.2,290
"Moore,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,7
"Morgan,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,5
"Obion,  Tennessee",7225,Restaurants and Other Eating Places,52,82.7,17.3,43
"Overton,  Tennessee",7225,Restaurants and Other Eating Places,36,69.4,30.6,25
"Perry,  Tennessee",7225,Restaurants and Other Eating Places,12,41.7,58.3,5
"Pickett,  Tennessee",7225,Restaurants and Other Eating Places,17,47.1,52.9,8
"Polk,  Tennessee",7225,Restaurants and Other Eating Places,18,66.7,33.3,12
"Putnam,  Tennessee",7225,Restaurants and Other Eating Places,169,82.8,17.2,140
"Rhea,  Tennessee",7225,Restaurants and Other Eating Places,51,80.4,19.6,41
"Roane,  Tennessee",7225,Restaurants and Other Eating Places,61,86.9,13.1,53
"Robertson,  Tennessee",7225,Restaurants and Other Eating Places,108,85.2,14.8,92
"Rutherford,  Tennessee",7225,Restaurants and Other Eating Places,519,87.9,12.1,456
"Scott,  Tennessee",7225,Restaurants and Other Eating Places,28,67.9,32.1,19
"Sequatchie,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,14
"Sevier,  Tennessee",7225,Restaurants and Other Eating Places,368,84.5,15.5,311
"Shelby,  Tennessee",7225,Restaurants and Other Eating Places,"1,784",80.4,19.6,"1,434"
"Smith,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,19
"Stewart,  Tennessee",7225,Restaurants and Other Eating Places,16,68.8,31.3,11
"Sullivan,  Tennessee",7225,Restaurants and Other Eating Places,339,85.8,14.2,291
"Sumner,  Tennessee",7225,Restaurants and Other Eating Places,263,82.9,17.1,218
"Tipton,  Tennessee",7225,Restaurants and Other Eating Places,72,72.2,27.8,52
"Trousdale,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,7
"Unicoi,  Tennessee",7225,Restaurants and Other Eating Places,D,D,D,24
"Union,  Tennessee",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"Warren,  Tennessee",7225,Restaurants and Other Eating Places,57,80.7,19.3,46
"Washington,  Tennessee",7225,Restaurants and Other Eating Places,256,91.8,8.2,235
"Wayne,  Tennessee",7225,Restaurants and Other Eating Places,19,68.4,31.6,13
"Weakley,  Tennessee",7225,Restaurants and Other Eating Places,45,93.3,6.7,42
"White,  Tennessee",7225,Restaurants and Other Eating Places,36,86.1,13.9,31
"Williamson,  Tennessee",7225,Restaurants and Other Eating Places,467,91,9,425
"Wilson,  Tennessee",7225,Restaurants and Other Eating Places,230,88.7,11.3,204
"Anderson,  Texas",7225,Restaurants and Other Eating Places,72,77.8,22.2,56
"Andrews,  Texas",7225,Restaurants and Other Eating Places,37,59.5,40.5,22
"Angelina,  Texas",7225,Restaurants and Other Eating Places,153,77.1,22.9,118
"Aransas,  Texas",7225,Restaurants and Other Eating Places,72,80.6,19.4,58
"Archer,  Texas",7225,Restaurants and Other Eating Places,D,D,D,7
"Armstrong,  Texas",7225,Restaurants and Other Eating Places,5,40,60,2
"Atascosa,  Texas",7225,Restaurants and Other Eating Places,82,58.5,41.5,48
"Austin,  Texas",7225,Restaurants and Other Eating Places,51,78.4,21.6,40
"Bailey,  Texas",7225,Restaurants and Other Eating Places,16,62.5,37.5,10
"Bandera,  Texas",7225,Restaurants and Other Eating Places,45,57.8,42.2,26
"Bastrop,  Texas",7225,Restaurants and Other Eating Places,121,75.2,24.8,91
"Baylor,  Texas",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"Bee,  Texas",7225,Restaurants and Other Eating Places,47,76.6,23.4,36
"Bell,  Texas",7225,Restaurants and Other Eating Places,585,82.7,17.3,484
"Bexar,  Texas",7225,Restaurants and Other Eating Places,"3,815",79.8,20.2,"3,043"
"Blanco,  Texas",7225,Restaurants and Other Eating Places,36,66.7,33.3,24
"Bosque,  Texas",7225,Restaurants and Other Eating Places,31,48.4,51.6,15
"Bowie,  Texas",7225,Restaurants and Other Eating Places,187,85.6,14.4,160
"Brazoria,  Texas",7225,Restaurants and Other Eating Places,608,78,22,474
"Brazos,  Texas",7225,Restaurants and Other Eating Places,396,87.9,12.1,348
"Brewster,  Texas",7225,Restaurants and Other Eating Places,35,74.3,25.7,26
"Briscoe,  Texas",7225,Restaurants and Other Eating Places,6,16.7,83.3,1
"Brooks,  Texas",7225,Restaurants and Other Eating Places,16,68.8,31.3,11
"Brown,  Texas",7225,Restaurants and Other Eating Places,80,85,15,68
"Burleson,  Texas",7225,Restaurants and Other Eating Places,37,67.6,32.4,25
"Burnet,  Texas",7225,Restaurants and Other Eating Places,110,79.1,20.9,87
"Caldwell,  Texas",7225,Restaurants and Other Eating Places,68,67.6,32.4,46
"Calhoun,  Texas",7225,Restaurants and Other Eating Places,60,68.3,31.7,41
"Callahan,  Texas",7225,Restaurants and Other Eating Places,18,77.8,22.2,14
"Cameron,  Texas",7225,Restaurants and Other Eating Places,842,65.3,34.7,550
"Camp,  Texas",7225,Restaurants and Other Eating Places,23,78.3,21.7,18
"Cass,  Texas",7225,Restaurants and Other Eating Places,47,74.5,25.5,35
"Castro,  Texas",7225,Restaurants and Other Eating Places,15,73.3,26.7,11
"Chambers,  Texas",7225,Restaurants and Other Eating Places,77,70.1,29.9,54
"Cherokee,  Texas",7225,Restaurants and Other Eating Places,67,68.7,31.3,46
"Childress,  Texas",7225,Restaurants and Other Eating Places,D,D,D,14
"Clay,  Texas",7225,Restaurants and Other Eating Places,D,D,D,4
"Coke,  Texas",7225,Restaurants and Other Eating Places,D,D,D,4
"Coleman,  Texas",7225,Restaurants and Other Eating Places,22,72.7,27.3,16
"Collin,  Texas",7225,Restaurants and Other Eating Places,"2,062",86.1,13.9,"1,776"
"Collingsworth,  Texas",7225,Restaurants and Other Eating Places,D,D,D,7
"Colorado,  Texas",7225,Restaurants and Other Eating Places,36,91.7,8.3,33
"Comal,  Texas",7225,Restaurants and Other Eating Places,290,82.4,17.6,239
"Comanche,  Texas",7225,Restaurants and Other Eating Places,27,66.7,33.3,18
"Concho,  Texas",7225,Restaurants and Other Eating Places,10,40,60,4
"Cooke,  Texas",7225,Restaurants and Other Eating Places,78,78.2,21.8,61
"Coryell,  Texas",7225,Restaurants and Other Eating Places,89,84.3,15.7,75
"Crane,  Texas",7225,Restaurants and Other Eating Places,S,S,S,6
"Crockett,  Texas",7225,Restaurants and Other Eating Places,D,D,D,11
"Crosby,  Texas",7225,Restaurants and Other Eating Places,8,25,75,2
"Culberson,  Texas",7225,Restaurants and Other Eating Places,D,D,D,5
"Dallam,  Texas",7225,Restaurants and Other Eating Places,23,65.2,34.8,15
"Dallas,  Texas",7225,Restaurants and Other Eating Places,"5,717",80.7,19.3,"4,614"
"Dawson,  Texas",7225,Restaurants and Other Eating Places,26,73.1,26.9,19
"Deaf Smith,  Texas",7225,Restaurants and Other Eating Places,39,64.1,35.9,25
"Delta,  Texas",7225,Restaurants and Other Eating Places,9,22.2,77.8,2
"Denton,  Texas",7225,Restaurants and Other Eating Places,"1,504",80.7,19.3,"1,214"
"DeWitt,  Texas",7225,Restaurants and Other Eating Places,45,73.3,26.7,33
"Dimmit,  Texas",7225,Restaurants and Other Eating Places,34,35.3,64.7,12
"Donley,  Texas",7225,Restaurants and Other Eating Places,D,D,D,7
"Duval,  Texas",7225,Restaurants and Other Eating Places,18,50,50,9
"Eastland,  Texas",7225,Restaurants and Other Eating Places,D,D,D,29
"Ector,  Texas",7225,Restaurants and Other Eating Places,273,77.7,22.3,212
"Edwards,  Texas",7225,Restaurants and Other Eating Places,10,30,70,3
"Ellis,  Texas",7225,Restaurants and Other Eating Places,282,78,22,220
"El Paso,  Texas",7225,Restaurants and Other Eating Places,"1,727",73.2,26.8,"1,265"
"Erath,  Texas",7225,Restaurants and Other Eating Places,86,81.4,18.6,70
"Falls,  Texas",7225,Restaurants and Other Eating Places,17,70.6,29.4,12
"Fannin,  Texas",7225,Restaurants and Other Eating Places,49,65.3,34.7,32
"Fayette,  Texas",7225,Restaurants and Other Eating Places,61,83.6,16.4,51
"Fisher,  Texas",7225,Restaurants and Other Eating Places,D,D,D,3
"Floyd,  Texas",7225,Restaurants and Other Eating Places,D,D,D,10
"Foard,  Texas",7225,Restaurants and Other Eating Places,6,33.3,66.7,2
"Fort Bend,  Texas",7225,Restaurants and Other Eating Places,"1,258",76.2,23.8,958
"Franklin,  Texas",7225,Restaurants and Other Eating Places,20,45,55,9
"Freestone,  Texas",7225,Restaurants and Other Eating Places,30,80,20,24
"Frio,  Texas",7225,Restaurants and Other Eating Places,35,57.1,42.9,20
"Gaines,  Texas",7225,Restaurants and Other Eating Places,37,62.2,37.8,23
"Galveston,  Texas",7225,Restaurants and Other Eating Places,641,86.1,13.9,552
"Garza,  Texas",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"Gillespie,  Texas",7225,Restaurants and Other Eating Places,75,88,12,66
"Goliad,  Texas",7225,Restaurants and Other Eating Places,D,D,D,9
"Gonzales,  Texas",7225,Restaurants and Other Eating Places,52,63.5,36.5,33
"Gray,  Texas",7225,Restaurants and Other Eating Places,46,76.1,23.9,35
"Grayson,  Texas",7225,Restaurants and Other Eating Places,232,80.6,19.4,187
"Gregg,  Texas",7225,Restaurants and Other Eating Places,311,88.7,11.3,276
"Grimes,  Texas",7225,Restaurants and Other Eating Places,35,77.1,22.9,27
"Guadalupe,  Texas",7225,Restaurants and Other Eating Places,203,69.5,30.5,141
"Hale,  Texas",7225,Restaurants and Other Eating Places,57,80.7,19.3,46
"Hall,  Texas",7225,Restaurants and Other Eating Places,10,50,50,5
"Hamilton,  Texas",7225,Restaurants and Other Eating Places,22,63.6,36.4,14
"Hansford,  Texas",7225,Restaurants and Other Eating Places,13,53.8,46.2,7
"Hardin,  Texas",7225,Restaurants and Other Eating Places,88,84.1,15.9,74
"Harris,  Texas",7225,Restaurants and Other Eating Places,"9,494",76.9,23.1,"7,297"
"Harrison,  Texas",7225,Restaurants and Other Eating Places,102,73.5,26.5,75
"Hartley,  Texas",7225,Restaurants and Other Eating Places,D,D,D,3
"Haskell,  Texas",7225,Restaurants and Other Eating Places,D,D,D,12
"Hays,  Texas",7225,Restaurants and Other Eating Places,360,85.8,14.2,309
"Hemphill,  Texas",7225,Restaurants and Other Eating Places,8,62.5,37.5,5
"Henderson,  Texas",7225,Restaurants and Other Eating Places,156,75,25,117
"Hidalgo,  Texas",7225,Restaurants and Other Eating Places,"1,483",59.8,40.2,887
"Hill,  Texas",7225,Restaurants and Other Eating Places,62,77.4,22.6,48
"Hockley,  Texas",7225,Restaurants and Other Eating Places,38,84.2,15.8,32
"Hood,  Texas",7225,Restaurants and Other Eating Places,103,84.5,15.5,87
"Hopkins,  Texas",7225,Restaurants and Other Eating Places,74,68.9,31.1,51
"Houston,  Texas",7225,Restaurants and Other Eating Places,37,70.3,29.7,26
"Howard,  Texas",7225,Restaurants and Other Eating Places,65,89.2,10.8,58
"Hudspeth,  Texas",7225,Restaurants and Other Eating Places,6,50,50,3
"Hunt,  Texas",7225,Restaurants and Other Eating Places,128,81.3,18.8,104
"Hutchinson,  Texas",7225,Restaurants and Other Eating Places,53,64.2,35.8,34
"Irion,  Texas",7225,Restaurants and Other Eating Places,D,D,D,2
"Jack,  Texas",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"Jackson,  Texas",7225,Restaurants and Other Eating Places,27,59.3,40.7,16
"Jasper,  Texas",7225,Restaurants and Other Eating Places,49,77.6,22.4,38
"Jeff Davis,  Texas",7225,Restaurants and Other Eating Places,D,D,D,5
"Jefferson,  Texas",7225,Restaurants and Other Eating Places,487,79.1,20.9,385
"Jim Hogg,  Texas",7225,Restaurants and Other Eating Places,S,S,S,5
"Jim Wells,  Texas",7225,Restaurants and Other Eating Places,80,73.8,26.3,59
"Johnson,  Texas",7225,Restaurants and Other Eating Places,264,79.9,20.1,211
"Jones,  Texas",7225,Restaurants and Other Eating Places,28,53.6,46.4,15
"Karnes,  Texas",7225,Restaurants and Other Eating Places,34,76.5,23.5,26
"Kaufman,  Texas",7225,Restaurants and Other Eating Places,187,75.4,24.6,141
"Kendall,  Texas",7225,Restaurants and Other Eating Places,83,85.5,14.5,71
"Kerr,  Texas",7225,Restaurants and Other Eating Places,112,77.7,22.3,87
"Kimble,  Texas",7225,Restaurants and Other Eating Places,21,52.4,47.6,11
"Kinney,  Texas",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Kleberg,  Texas",7225,Restaurants and Other Eating Places,71,80.3,19.7,57
"Knox,  Texas",7225,Restaurants and Other Eating Places,D,D,D,5
"Lamar,  Texas",7225,Restaurants and Other Eating Places,102,86.3,13.7,88
"Lamb,  Texas",7225,Restaurants and Other Eating Places,20,65,35,13
"Lampasas,  Texas",7225,Restaurants and Other Eating Places,43,74.4,25.6,32
"La Salle,  Texas",7225,Restaurants and Other Eating Places,16,75,25,12
"Lavaca,  Texas",7225,Restaurants and Other Eating Places,29,65.5,34.5,19
"Lee,  Texas",7225,Restaurants and Other Eating Places,39,69.2,30.8,27
"Leon,  Texas",7225,Restaurants and Other Eating Places,34,73.5,26.5,25
"Liberty,  Texas",7225,Restaurants and Other Eating Places,114,70.2,29.8,80
"Limestone,  Texas",7225,Restaurants and Other Eating Places,44,68.2,31.8,30
"Live Oak,  Texas",7225,Restaurants and Other Eating Places,D,D,D,22
"Llano,  Texas",7225,Restaurants and Other Eating Places,47,78.7,21.3,37
"Lubbock,  Texas",7225,Restaurants and Other Eating Places,564,89.9,10.1,507
"Lynn,  Texas",7225,Restaurants and Other Eating Places,10,60,40,6
"McCulloch,  Texas",7225,Restaurants and Other Eating Places,21,76.2,23.8,16
"McLennan,  Texas",7225,Restaurants and Other Eating Places,452,86.1,13.9,389
"McMullen,  Texas",7225,Restaurants and Other Eating Places,8,25,75,2
"Madison,  Texas",7225,Restaurants and Other Eating Places,49,75.5,24.5,37
"Marion,  Texas",7225,Restaurants and Other Eating Places,21,71.4,28.6,15
"Martin,  Texas",7225,Restaurants and Other Eating Places,13,30.8,69.2,4
"Mason,  Texas",7225,Restaurants and Other Eating Places,D,D,D,12
"Matagorda,  Texas",7225,Restaurants and Other Eating Places,96,59.4,40.6,57
"Maverick,  Texas",7225,Restaurants and Other Eating Places,119,47.9,52.1,57
"Medina,  Texas",7225,Restaurants and Other Eating Places,75,74.7,25.3,56
"Menard,  Texas",7225,Restaurants and Other Eating Places,D,D,D,3
"Midland,  Texas",7225,Restaurants and Other Eating Places,329,78.7,21.3,259
"Milam,  Texas",7225,Restaurants and Other Eating Places,44,70.5,29.5,31
"Mills,  Texas",7225,Restaurants and Other Eating Places,D,D,D,7
"Mitchell,  Texas",7225,Restaurants and Other Eating Places,15,80,20,12
"Montague,  Texas",7225,Restaurants and Other Eating Places,34,85.3,14.7,29
"Montgomery,  Texas",7225,Restaurants and Other Eating Places,945,81.8,18.2,773
"Moore,  Texas",7225,Restaurants and Other Eating Places,44,75,25,33
"Morris,  Texas",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"Nacogdoches,  Texas",7225,Restaurants and Other Eating Places,91,82.4,17.6,75
"Navarro,  Texas",7225,Restaurants and Other Eating Places,76,76.3,23.7,58
"Newton,  Texas",7225,Restaurants and Other Eating Places,6,33.3,66.7,2
"Nolan,  Texas",7225,Restaurants and Other Eating Places,45,71.1,28.9,32
"Nueces,  Texas",7225,Restaurants and Other Eating Places,801,82.1,17.9,658
"Ochiltree,  Texas",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"Oldham,  Texas",7225,Restaurants and Other Eating Places,D,D,D,5
"Orange,  Texas",7225,Restaurants and Other Eating Places,137,81,19,111
"Palo Pinto,  Texas",7225,Restaurants and Other Eating Places,67,83.6,16.4,56
"Panola,  Texas",7225,Restaurants and Other Eating Places,25,64,36,16
"Parker,  Texas",7225,Restaurants and Other Eating Places,213,78.9,21.1,168
"Parmer,  Texas",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"Pecos,  Texas",7225,Restaurants and Other Eating Places,35,68.6,31.4,24
"Polk,  Texas",7225,Restaurants and Other Eating Places,67,74.6,25.4,50
"Potter,  Texas",7225,Restaurants and Other Eating Places,318,82.7,17.3,263
"Presidio,  Texas",7225,Restaurants and Other Eating Places,20,75,25,15
"Rains,  Texas",7225,Restaurants and Other Eating Places,19,78.9,21.1,15
"Randall,  Texas",7225,Restaurants and Other Eating Places,203,83.7,16.3,170
"Reagan,  Texas",7225,Restaurants and Other Eating Places,10,50,50,5
"Real,  Texas",7225,Restaurants and Other Eating Places,17,35.3,64.7,6
"Red River,  Texas",7225,Restaurants and Other Eating Places,17,58.8,41.2,10
"Reeves,  Texas",7225,Restaurants and Other Eating Places,28,67.9,32.1,19
"Refugio,  Texas",7225,Restaurants and Other Eating Places,21,76.2,23.8,16
"Robertson,  Texas",7225,Restaurants and Other Eating Places,29,69,31,20
"Rockwall,  Texas",7225,Restaurants and Other Eating Places,206,85.9,14.1,177
"Runnels,  Texas",7225,Restaurants and Other Eating Places,23,47.8,52.2,11
"Rusk,  Texas",7225,Restaurants and Other Eating Places,82,76.8,23.2,63
"Sabine,  Texas",7225,Restaurants and Other Eating Places,11,54.5,45.5,6
"San Augustine,  Texas",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"San Jacinto,  Texas",7225,Restaurants and Other Eating Places,18,61.1,38.9,11
"San Patricio,  Texas",7225,Restaurants and Other Eating Places,128,76.6,23.4,98
"San Saba,  Texas",7225,Restaurants and Other Eating Places,D,D,D,15
"Scurry,  Texas",7225,Restaurants and Other Eating Places,41,78,22,32
"Shackelford,  Texas",7225,Restaurants and Other Eating Places,D,D,D,6
"Shelby,  Texas",7225,Restaurants and Other Eating Places,44,59.1,40.9,26
"Sherman,  Texas",7225,Restaurants and Other Eating Places,D,D,D,2
"Smith,  Texas",7225,Restaurants and Other Eating Places,448,87.7,12.3,393
"Somervell,  Texas",7225,Restaurants and Other Eating Places,25,76,24,19
"Starr,  Texas",7225,Restaurants and Other Eating Places,141,34.8,65.2,49
"Stephens,  Texas",7225,Restaurants and Other Eating Places,24,58.3,41.7,14
"Stonewall,  Texas",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Sutton,  Texas",7225,Restaurants and Other Eating Places,12,75,25,9
"Swisher,  Texas",7225,Restaurants and Other Eating Places,18,50,50,9
"Tarrant,  Texas",7225,Restaurants and Other Eating Places,"4,060",80.9,19.1,"3,285"
"Taylor,  Texas",7225,Restaurants and Other Eating Places,268,89.2,10.8,239
"Terrell,  Texas",7225,Restaurants and Other Eating Places,4,25,75,1
"Terry,  Texas",7225,Restaurants and Other Eating Places,D,D,D,19
"Titus,  Texas",7225,Restaurants and Other Eating Places,64,76.6,23.4,49
"Tom Green,  Texas",7225,Restaurants and Other Eating Places,236,84.7,15.3,200
"Travis,  Texas",7225,Restaurants and Other Eating Places,"2,595",86.5,13.5,"2,244"
"Trinity,  Texas",7225,Restaurants and Other Eating Places,21,52.4,47.6,11
"Tyler,  Texas",7225,Restaurants and Other Eating Places,26,69.2,30.8,18
