Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Madison,  Idaho",7225,Restaurants and Other Eating Places,60,88.3,11.7,53
"Minidoka,  Idaho",7225,Restaurants and Other Eating Places,27,70.4,29.6,19
"Nez Perce,  Idaho",7225,Restaurants and Other Eating Places,70,94.3,5.7,66
"Oneida,  Idaho",7225,Restaurants and Other Eating Places,D,D,D,7
"Owyhee,  Idaho",7225,Restaurants and Other Eating Places,20,75,25,15
"Power,  Idaho",7225,Restaurants and Other Eating Places,D,D,D,10
"Shoshone,  Idaho",7225,Restaurants and Other Eating Places,40,82.5,17.5,33
"Teton,  Idaho",7225,Restaurants and Other Eating Places,31,83.9,16.1,26
"Twin Falls,  Idaho",7225,Restaurants and Other Eating Places,173,87.3,12.7,151
"Valley,  Idaho",7225,Restaurants and Other Eating Places,48,85.4,14.6,41
"Washington,  Idaho",7225,Restaurants and Other Eating Places,D,D,D,16
"Adams,  Illinois",7225,Restaurants and Other Eating Places,106,92.5,7.5,98
"Bond,  Illinois",7225,Restaurants and Other Eating Places,23,82.6,17.4,19
"Boone,  Illinois",7225,Restaurants and Other Eating Places,64,78.1,21.9,50
"Bureau,  Illinois",7225,Restaurants and Other Eating Places,55,78.2,21.8,43
"Calhoun,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,15
"Carroll,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,25
"Cass,  Illinois",7225,Restaurants and Other Eating Places,23,82.6,17.4,19
"Champaign,  Illinois",7225,Restaurants and Other Eating Places,453,92.1,7.9,417
"Christian,  Illinois",7225,Restaurants and Other Eating Places,49,89.8,10.2,44
"Clark,  Illinois",7225,Restaurants and Other Eating Places,34,91.2,8.8,31
"Clay,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,22
"Clinton,  Illinois",7225,Restaurants and Other Eating Places,57,91.2,8.8,52
"Coles,  Illinois",7225,Restaurants and Other Eating Places,102,90.2,9.8,92
