Location,Household Total,Median,Mean
"MonroeCounty,NewYork",299224,54492,74700
"NassauCounty,NewYork",440785,105870,139034
"NewYorkCounty,NewYork",748293,77559,143741
"NiagaraCounty,NewYork",86786,50233,65869
"OneidaCounty,NewYork",87929,52996,68695
"OnondagaCounty,NewYork",182984,56991,76174
"OntarioCounty,NewYork",45187,57448,78032
"OrangeCounty,NewYork",124365,73025,91061
"OswegoCounty,NewYork",44633,53562,65090
"PutnamCounty,NewYork",34762,96992,122979
"QueensCounty,NewYork",761819,62207,81379
"RensselaerCounty,NewYork",62816,65965,80856
"RichmondCounty,NewYork",164289,77197,95481
"RocklandCounty,NewYork",99257,85515,116116
"St.LawrenceCounty,NewYork",40479,51592,64088
"SaratogaCounty,NewYork",93703,76097,99966
"SchenectadyCounty,NewYork",48720,58331,75564
"SteubenCounty,NewYork",38458,50575,69894
"SuffolkCounty,NewYork",474311,92933,118609
"SullivanCounty,NewYork",25031,50652,76471
"TompkinsCounty,NewYork",37683,56349,73644
"UlsterCounty,NewYork",68298,62790,82176
"WarrenCounty,NewYork",28841,58061,75717
"WayneCounty,NewYork",37496,59538,70422
"WestchesterCounty,NewYork",342216,89709,141104
"AlamanceCounty,NorthCarolina",64369,45100,60609
"BrunswickCounty,NorthCarolina",54331,50692,66132
"BuncombeCounty,NorthCarolina",103127,50685,68923
"BurkeCounty,NorthCarolina",35211,40345,51815
"CabarrusCounty,NorthCarolina",70438,63386,78726
"CaldwellCounty,NorthCarolina",32911,36301,50001
"CarteretCounty,NorthCarolina",27506,51206,64471
"CatawbaCounty,NorthCarolina",61618,48913,65599
"ChathamCounty,NorthCarolina",28568,62961,94054
"ClevelandCounty,NorthCarolina",36405,36992,50519
"CravenCounty,NorthCarolina",40297,49938,67148
"CumberlandCounty,NorthCarolina",124014,45205,57267
"DavidsonCounty,NorthCarolina",62695,45678,59441
"DurhamCounty,NorthCarolina",123697,53832,77836
"ForsythCounty,NorthCarolina",146219,48271,73006
"GastonCounty,NorthCarolina",82982,48711,69661
"GuilfordCounty,NorthCarolina",201520,47262,69367
"HarnettCounty,NorthCarolina",43960,51637,62276
"HendersonCounty,NorthCarolina",47791,54963,68263
"IredellCounty,NorthCarolina",65037,55891,79750
"JohnstonCounty,NorthCarolina",66254,54719,65036
"LincolnCounty,NorthCarolina",31588,49453,67290
"MecklenburgCounty,NorthCarolina",399504,62978,89684
"MooreCounty,NorthCarolina",38786,52279,72904
"NashCounty,NorthCarolina",35409,47902,64941
"NewHanoverCounty,NorthCarolina",92808,50028,70803
"OnslowCounty,NorthCarolina",61766,47150,56900
"OrangeCounty,NorthCarolina",50203,66423,94564
"PittCounty,NorthCarolina",70019,46573,62944
"RandolphCounty,NorthCarolina",56793,44836,55496
"RobesonCounty,NorthCarolina",45123,34254,47961
"RockinghamCounty,NorthCarolina",38163,40985,50217
"RowanCounty,NorthCarolina",50138,48379,62377
"RutherfordCounty,NorthCarolina",26982,36121,46400
"SurryCounty,NorthCarolina",28261,36802,59268
"UnionCounty,NorthCarolina",74763,71588,98685
"WakeCounty,NorthCarolina",387771,76097,100576
"WayneCounty,NorthCarolina",47240,41711,58296
"WilkesCounty,NorthCarolina",28771,41332,51346
"WilsonCounty,NorthCarolina",30897,39036,60107
"OrangeburgCounty,SouthCarolina",33449,32450,46106
"PickensCounty,SouthCarolina",47303,45779,64839
"RichlandCounty,SouthCarolina",153376,52030,71025
"SpartanburgCounty,SouthCarolina",113463,47371,63453
"SumterCounty,SouthCarolina",41439,40614,56274
"YorkCounty,SouthCarolina",98128,60767,79926
"MinnehahaCounty,SouthDakota",73808,60038,75126
"PenningtonCounty,SouthDakota",42956,50950,67638
"AndersonCounty,Tennessee",31209,46055,61601
"BlountCounty,Tennessee",49672,51183,66674
"BradleyCounty,Tennessee",40710,44853,59809
"DavidsonCounty,Tennessee",281967,54855,78234
"GreeneCounty,Tennessee",25418,41109,60485
"HamiltonCounty,Tennessee",139615,47898,71471
"KnoxCounty,Tennessee",183889,52102,72285
"MadisonCounty,Tennessee",37322,41791,58283
"MauryCounty,Tennessee",33667,50591,64296
"MontgomeryCounty,Tennessee",69427,56112,65397
"PutnamCounty,Tennessee",31343,37437,56080
"RobertsonCounty,Tennessee",25302,60423,74977
"RutherfordCounty,Tennessee",111387,61157,75267
"SevierCounty,Tennessee",36098,45609,56756
"ShelbyCounty,Tennessee",354666,47690,70860
