,Location,Population,Lower Limit,Upper Limit,Household Total,Median,Mean
262,"CherokeeCounty,Georgia",254149.0,21.5,31.7,84088,77950,97849
263,"HarfordCounty,Maryland",253956.0,29,35,91813,84175,99781
264,"YakimaCounty,Washington",251446.0,31.5,38.5,81084,48965,65675
265,"CumberlandCounty,Pennsylvania",251423.0,23.9,33.9,96906,63530,82236
266,"ClayCounty,Missouri",246365.0,29.5,36.7,89398,65430,80536
267,"CaddoParish,Louisiana",242922.0,36.3,44.2,96532,37104,60857
268,"LafayetteParish,Louisiana",242782.0,26.7,35.2,89130,49969,73667
269,"ArlingtonCounty,Virginia",237521.0,17,23.3,103479,110388,143507
270,"HindsCounty,Mississippi",237085.0,33.5,40.7,91065,43657,62946
271,"WashingtonCounty,Arkansas",236961.0,26.6,33.3,88690,45679,64869
272,"ForsythCounty,Georgia",236612.0,21.2,32.5,72208,100909,117651
273,"UnionCounty,NorthCarolina",235908.0,25.8,38,74763,71588,98685
274,"NewHanoverCounty,NorthCarolina",232274.0,22,30.8,92808,50028,70803
275,"WarrenCounty,Ohio",232173.0,22.9,32.4,82404,80207,105864
276,"YavapaiCounty,Arizona",231993.0,19.9,26.1,94962,50420,65804
277,"WilliamsonCounty,Tennessee",231729.0,16.3,26,73811,106054,137681
278,"ButteCounty,California",231256.0,22.2,32.7,85531,45177,65703
279,"LakeCounty,Ohio",230514.0,19.9,30,96325,61870,77742
280,"SmithCounty,Texas",230221.0,28.4,41.3,75792,52572,68343
281,"HenryCounty,Georgia",230220.0,29,41.7,74473,66905,82479
282,"SaratogaCounty,NewYork",230163.0,22.7,28.5,93703,76097,99966
283,"MahoningCounty,Ohio",229642.0,27.4,36,96998,42295,58567
284,"OneidaCounty,NewYork",229577.0,29.9,37.2,87929,52996,68695
285,"SussexCounty,Delaware",229286.0,30.7,34.7,82851,57734,78917
286,"BrazosCounty,Texas",226758.0,26.2,32.3,78272,41559,71130
287,"LinnCounty,Iowa",225909.0,31.4,37.7,89173,64639,82094
288,"MontgomeryCounty,Alabama",225763.0,34,41.2,90827,45395,65678
289,"WhatcomCounty,Washington",225685.0,25.1,30.9,84011,56411,71154
290,"BaldwinCounty,Alabama",,,,76779,56732,74892
291,"CalhounCounty,Alabama",,,,43972,41687,58992
292,"CullmanCounty,Alabama",,,,30299,39411,54412
293,"DeKalbCounty,Alabama",,,,25383,35963,48529
294,"ElmoreCounty,Alabama",,,,29350,52579,71553
295,"EtowahCounty,Alabama",,,,38766,41152,55243
296,"HoustonCounty,Alabama",,,,39167,42321,59912
297,"LauderdaleCounty,Alabama",,,,37875,43427,58691
298,"LeeCounty,Alabama",,,,59354,48056,64562
299,"LimestoneCounty,Alabama",,,,31880,50872,69299
300,"MarshallCounty,Alabama",,,,34726,42362,59315
301,"MorganCounty,Alabama",,,,44816,44378,59794
302,"St.ClairCounty,Alabama",,,,31615,60158,65740
303,"ShelbyCounty,Alabama",,,,76059,73647,91136
304,"TalladegaCounty,Alabama",,,,31517,39393,51776
305,"TuscaloosaCounty,Alabama",,,,73825,47787,65773
306,"WalkerCounty,Alabama",,,,23863,39068,50794
307,"FairbanksNorthStarBorough,Alaska",,,,33770,77328,87359
308,"Matanuska-SusitnaBorough,Alaska",,,,30305,69332,87787
309,"ApacheCounty,Arizona",,,,20018,34685,44505
310,"CochiseCounty,Arizona",,,,50147,45508,55174
311,"CoconinoCounty,Arizona",,,,47408,55091,67297
312,"MohaveCounty,Arizona",,,,84876,42423,57530
313,"NavajoCounty,Arizona",,,,33587,36998,51447
314,"YumaCounty,Arizona",,,,73072,43518,56872
315,"CraigheadCounty,Arkansas",,,,39813,43678,64488
316,"FaulknerCounty,Arkansas",,,,43964,48506,65068
317,"GarlandCounty,Arkansas",,,,39309,42826,56172
318,"JeffersonCounty,Arkansas",,,,26750,37712,51502
319,"LonokeCounty,Arkansas",,,,26327,55837,64569
320,"SalineCounty,Arkansas",,,,43371,64932,75347
321,"SebastianCounty,Arkansas",,,,51055,42053,56346
322,"WhiteCounty,Arkansas",,,,28221,42844,54969
323,"ElDoradoCounty,California",,,,69653,75772,100639
324,"HumboldtCounty,California",,,,54230,43130,64617
325,"ImperialCounty,California",,,,44855,49095,63208
326,"KingsCounty,California",,,,43090,53234,67901
327,"LakeCounty,California",,,,24593,42029,60536
328,"MaderaCounty,California",,,,44369,51657,67604
329,"MendocinoCounty,California",,,,35439,43809,65838
330,"NapaCounty,California",,,,49561,75077,106368
331,"NevadaCounty,California",,,,38708,59022,85575
332,"LaSalleCounty,Illinois",,,,44753,57476,66763
333,"McHenryCounty,Illinois",,,,110717,81063,94250
334,"McLeanCounty,Illinois",,,,65644,62156,82471
335,"MaconCounty,Illinois",,,,44002,46198,62668
336,"PeoriaCounty,Illinois",,,,73209,51975,71145
337,"RockIslandCounty,Illinois",,,,60206,50948,65040
338,"SangamonCounty,Illinois",,,,82959,53782,73785
339,"TazewellCounty,Illinois",,,,56051,60152,74437
340,"VermilionCounty,Illinois",,,,31928,45481,56819
341,"WilliamsonCounty,Illinois",,,,26761,48409,59894
342,"BartholomewCounty,Indiana",,,,31626,59102,73017
343,"ClarkCounty,Indiana",,,,42498,51401,66198
344,"DelawareCounty,Indiana",,,,46720,41041,56602
345,"ElkhartCounty,Indiana",,,,72487,54216,65321
346,"FloydCounty,Indiana",,,,29199,58586,80423
347,"GrantCounty,Indiana",,,,26528,37117,49367
348,"HancockCounty,Indiana",,,,27968,67799,81328
349,"HendricksCounty,Indiana",,,,58677,78307,88073
350,"HowardCounty,Indiana",,,,34195,45702,62995
351,"JohnsonCounty,Indiana",,,,54542,65991,86468
352,"KosciuskoCounty,Indiana",,,,30494,53963,69224
353,"LaPorteCounty,Indiana",,,,42074,53507,67659
354,"MadisonCounty,Indiana",,,,50964,45495,59751
355,"MonroeCounty,Indiana",,,,54513,43582,66101
356,"MorganCounty,Indiana",,,,25881,60530,72662
357,"PorterCounty,Indiana",,,,62986,66196,82284
358,"TippecanoeCounty,Indiana",,,,68405,51361,69541
359,"VanderburghCounty,Indiana",,,,74968,46064,63945
360,"VigoCounty,Indiana",,,,40328,43910,56349
361,"WayneCounty,Indiana",,,,26538,43401,56553
362,"BlackHawkCounty,Iowa",,,,52479,50470,69997
363,"DallasCounty,Iowa",,,,33180,75899,103298
364,"DubuqueCounty,Iowa",,,,37710,60456,82731
365,"JohnsonCounty,Iowa",,,,57217,58064,76500
366,"PottawattamieCounty,Iowa",,,,36094,55972,75890
367,"ScottCounty,Iowa",,,,66527,54730,74517
368,"StoryCounty,Iowa",,,,37350,53371,70682
369,"WoodburyCounty,Iowa",,,,38637,52324,68021
370,"ButlerCounty,Kansas",,,,24266,60182,71661
371,"DouglasCounty,Kansas",,,,45572,56345,73186
372,"LeavenworthCounty,Kansas",,,,27174,68299,85412
373,"RileyCounty,Kansas",,,,25523,50737,68478
374,"ShawneeCounty,Kansas",,,,70101,55710,71877
375,"WyandotteCounty,Kansas",,,,58524,43129,53676
376,"BooneCounty,Kentucky",,,,46849,72374,92690
377,"BullittCounty,Kentucky",,,,29037,65359,77718
378,"CampbellCounty,Kentucky",,,,36461,62536,78640
379,"ChristianCounty,Kentucky",,,,25121,41140,52430
380,"DaviessCounty,Kentucky",,,,39629,51764,69426
381,"HardinCounty,Kentucky",,,,39684,52148,67497
382,"ShastaCounty,California",,,,72095,46724,64293
383,"SutterCounty,California",,,,32345,51397,69847
384,"YoloCounty,California",,,,73055,64904,91705
385,"YubaCounty,California",,,,26699,49259,66815
386,"BroomfieldCounty,Colorado",,,,26269,84349,111621
387,"MesaCounty,Colorado",,,,60188,48846,60280
388,"PuebloCounty,Colorado",,,,62275,44677,59601
