NAME,Household Total,Median,Mean
"Bowie County, Texas",33031,45997,67583
"Brazoria County, Texas",117168,74799,90604
"Brazos County, Texas",78272,41559,71130
"Cameron County, Texas",120499,37061,51206
"Collin County, Texas",334794,89638,113597
"Comal County, Texas",48604,77425,99722
"Coryell County, Texas",22682,51125,64622
"Dallas County, Texas",924789,54399,80938
"Denton County, Texas",281964,80613,106034
"Ector County, Texas",51012,53254,79688
"Ellis County, Texas",55586,70210,86074
"El Paso County, Texas",267376,42165,57072
"Fort Bend County, Texas",230121,90680,119536
"Galveston County, Texas",120938,64939,90498
"Grayson County, Texas",47135,52095,66350
"Gregg County, Texas",45231,44219,61736
"Guadalupe County, Texas",51935,68157,86068
"Harris County, Texas",1606399,56377,84551
"Harrison County, Texas",23742,46548,57647
"Hays County, Texas",71267,64658,83539
"Henderson County, Texas",30403,44088,64111
"Hidalgo County, Texas",234716,36176,53230
"Hunt County, Texas",31377,53962,68424
"Jefferson County, Texas",95801,45390,64895
"Johnson County, Texas",54048,59895,73321
"Kaufman County, Texas",36696,62033,76602
"Liberty County, Texas",26204,42877,65705
"Lubbock County, Texas",111975,49136,68557
"McLennan County, Texas",87163,46860,67968
"Midland County, Texas",56178,65349,98622
"Montgomery County, Texas",193637,71123,104877
"Nacogdoches County, Texas",23080,35562,54215
"Nueces County, Texas",129254,54318,70642
"Orange County, Texas",32538,53480,70748
"Parker County, Texas",44098,66548,83981
"Potter County, Texas",42179,42305,60695
"Randall County, Texas",49728,67015,87930
"Rockwall County, Texas",31620,95731,107103
"San Patricio County, Texas",23761,53348,64758
"Smith County, Texas",75792,52572,68343
"Tarrant County, Texas",696887,61534,84829
"Taylor County, Texas",48607,48803,63267
"Tom Green County, Texas",43497,48696,65974
"Travis County, Texas",457810,70158,100262
"Victoria County, Texas",32249,53778,85178
"Walker County, Texas",21209,42662,55950
"Webb County, Texas",73483,35659,53833
"Wichita County, Texas",49486,44769,58193
"Williamson County, Texas",173125,81818,98793
"Cache County, Utah",37151,58003,73588
"Davis County, Utah",103665,76905,93257
"Salt Lake County, Utah",366239,68665,89138
"Utah County, Utah",157803,69799,84827
"Washington County, Utah",51774,55056,74494
"Weber County, Utah",79501,63158,76150
"Chittenden County, Vermont",64867,68843,89763
"Albemarle County, Virginia",40318,71975,100166
